dataset,window_tag,hidden_tag,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2,input_dim,train_mse,val_mse,path
FD001,W30_step1,h10,25.295774459838867,33.503700256347656,36.151067179311944,45.745194313002706,0.6460976004600525,0.5752719044685364,450,1306.899658203125,2092.622802734375,/data/manuel/time_trust/mlp_baselines/FD001/W30_step1/h10
FD001,W30_step1,h10_10,20.327390670776367,26.622493743896484,30.90887544934252,40.44142417203553,0.7412933111190796,0.6680498123168945,450,955.3585815429688,1635.5087890625,/data/manuel/time_trust/mlp_baselines/FD001/W30_step1/h10_10
FD001,W30_step1,h10_10_10,17.858936309814453,26.150165557861328,28.07261071165218,41.82686424136556,0.7865939140319824,0.6449164152145386,450,788.0714721679688,1749.486572265625,/data/manuel/time_trust/mlp_baselines/FD001/W30_step1/h10_10_10
FD002,W30_step1,h10,30.391483306884766,31.46492576599121,40.05566500294465,45.418440272612564,0.5804738998413086,0.5194476842880249,630,1604.456298828125,2062.834716796875,/data/manuel/time_trust/mlp_baselines/FD002/W30_step1/h10
FD002,W30_step1,h10_10,28.699289321899414,29.858688354492188,38.61748226546414,43.79456017562641,0.6100589632987976,0.5531964898109436,630,1491.3099365234375,1917.9635009765625,/data/manuel/time_trust/mlp_baselines/FD002/W30_step1/h10_10
FD002,W30_step1,h10_10_10,28.3529052734375,29.758771896362305,38.23951647337068,43.53253710857403,0.6176546812057495,0.5585269331932068,630,1462.2606201171875,1895.081787109375,/data/manuel/time_trust/mlp_baselines/FD002/W30_step1/h10_10_10
FD003,W30_step1,h10,32.12977600097656,27.59368324279785,47.78235364977849,41.1897257317814,0.7405006885528564,0.7939589023590088,480,2283.1533203125,1696.593505859375,/data/manuel/time_trust/mlp_baselines/FD003/W30_step1/h10
FD003,W30_step1,h10_10,30.140485763549805,27.381580352783203,44.83348913532021,41.5850062419212,0.7715420722961426,0.7899853587150574,480,2010.041748046875,1729.312744140625,/data/manuel/time_trust/mlp_baselines/FD003/W30_step1/h10_10
FD003,W30_step1,h10_10_10,27.449037551879883,28.130693435668945,40.650987781567956,44.13840010985687,0.8121793270111084,0.763403058052063,480,1652.5028076171875,1948.1983642578125,/data/manuel/time_trust/mlp_baselines/FD003/W30_step1/h10_10_10
FD004,W30_step1,h10,43.44900894165039,40.8040771484375,58.38343505037409,52.0816057005134,0.5162312984466553,0.5700075626373291,630,3408.62548828125,2712.49365234375,/data/manuel/time_trust/mlp_baselines/FD004/W30_step1/h10
FD004,W30_step1,h10_10,41.603721618652344,38.772483825683594,56.927810732238996,50.06910751495127,0.5400533676147461,0.6025964617729187,630,3240.775634765625,2506.91552734375,/data/manuel/time_trust/mlp_baselines/FD004/W30_step1/h10_10
FD004,W30_step1,h10_10_10,40.437294006347656,36.92739486694336,55.86301124528309,48.253779604231525,0.5570985078811646,0.630890965461731,630,3120.676025390625,2328.42724609375,/data/manuel/time_trust/mlp_baselines/FD004/W30_step1/h10_10_10
