dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,weights,train,mae,15,0,15,1.0,21.24919891357422
FD001,W30_step1,h10,sensors,weights,train,rmse,15,0,15,1.0,31.21976173754724
FD001,W30_step1,h10,sensors,weights,train,r2,15,0,15,1.0,0.7360628843307495
FD001,W30_step1,h10,sensors,weights,val,mae,15,0,15,1.0,28.65915298461914
FD001,W30_step1,h10,sensors,weights,val,rmse,15,0,15,1.0,41.77895351766545
FD001,W30_step1,h10,sensors,weights,val,r2,15,0,15,1.0,0.6457294225692749
FD001,W30_step1,h10,sensors,weights,train,mae,15,1,14,0.9333333333333333,20.94647789001465
FD001,W30_step1,h10,sensors,weights,train,rmse,15,1,14,0.9333333333333333,30.54269372757941
FD001,W30_step1,h10,sensors,weights,train,r2,15,1,14,0.9333333333333333,0.7473868727684021
FD001,W30_step1,h10,sensors,weights,val,mae,15,1,14,0.9333333333333333,29.251192092895508
FD001,W30_step1,h10,sensors,weights,val,rmse,15,1,14,0.9333333333333333,42.053382009971116
FD001,W30_step1,h10,sensors,weights,val,r2,15,1,14,0.9333333333333333,0.6410599946975708
FD001,W30_step1,h10,sensors,weights,train,mae,15,2,13,0.8666666666666667,20.601665496826172
FD001,W30_step1,h10,sensors,weights,train,rmse,15,2,13,0.8666666666666667,30.88293503327576
FD001,W30_step1,h10,sensors,weights,train,r2,15,2,13,0.8666666666666667,0.741727352142334
FD001,W30_step1,h10,sensors,weights,val,mae,15,2,13,0.8666666666666667,27.7106990814209
FD001,W30_step1,h10,sensors,weights,val,rmse,15,2,13,0.8666666666666667,40.9845194550447
FD001,W30_step1,h10,sensors,weights,val,r2,15,2,13,0.8666666666666667,0.6590743064880371
FD001,W30_step1,h10,sensors,weights,train,mae,15,3,12,0.8,21.300357818603516
FD001,W30_step1,h10,sensors,weights,train,rmse,15,3,12,0.8,31.38690713423553
FD001,W30_step1,h10,sensors,weights,train,r2,15,3,12,0.8,0.7332292199134827
FD001,W30_step1,h10,sensors,weights,val,mae,15,3,12,0.8,28.608327865600586
FD001,W30_step1,h10,sensors,weights,val,rmse,15,3,12,0.8,41.97230706724226
FD001,W30_step1,h10,sensors,weights,val,r2,15,3,12,0.8,0.6424427032470703
FD001,W30_step1,h10,sensors,weights,train,mae,15,4,11,0.7333333333333333,21.41876983642578
FD001,W30_step1,h10,sensors,weights,train,rmse,15,4,11,0.7333333333333333,31.752578750775797
FD001,W30_step1,h10,sensors,weights,train,r2,15,4,11,0.7333333333333333,0.7269769906997681
FD001,W30_step1,h10,sensors,weights,val,mae,15,4,11,0.7333333333333333,28.36707878112793
FD001,W30_step1,h10,sensors,weights,val,rmse,15,4,11,0.7333333333333333,41.54022253058624
FD001,W30_step1,h10,sensors,weights,val,r2,15,4,11,0.7333333333333333,0.6497665643692017
FD001,W30_step1,h10,sensors,weights,train,mae,15,5,10,0.6666666666666666,21.663068771362305
FD001,W30_step1,h10,sensors,weights,train,rmse,15,5,10,0.6666666666666666,31.825509219953968
