dataset,group_mode,ranking,split,metric,band_lo,band_hi,auc_norm_mean
FD001,sensors,randomavg,train,mae,0.2,0.8,20.340943654378254
FD001,sensors,timetrust,train,mae,0.2,0.8,20.78204776622631
FD001,sensors,weights,train,mae,0.2,0.8,21.064711111563224
FD001,sensors,randomavg,val,mae,0.2,0.8,28.163722603409372
FD001,sensors,timetrust,val,mae,0.2,0.8,28.580864588419598
FD001,sensors,weights,val,mae,0.2,0.8,29.15023591783312
FD001,sensors,randomavg,train,r2,0.2,0.8,0.7483117823247555
FD001,sensors,timetrust,train,r2,0.2,0.8,0.7418499511701088
FD001,sensors,weights,train,r2,0.2,0.8,0.7363055745760599
FD001,sensors,randomavg,val,r2,0.2,0.8,0.6307711192855128
FD001,sensors,timetrust,val,r2,0.2,0.8,0.6408489324428416
FD001,sensors,weights,val,r2,0.2,0.8,0.6262014199186253
FD001,sensors,randomavg,train,rmse,0.2,0.8,30.435799382831107
FD001,sensors,timetrust,train,rmse,0.2,0.8,30.804031237147054
FD001,sensors,weights,train,rmse,0.2,0.8,31.08226755773656
FD001,sensors,randomavg,val,rmse,0.2,0.8,42.62139350519789
FD001,sensors,timetrust,val,rmse,0.2,0.8,42.04647176667685
FD001,sensors,weights,val,rmse,0.2,0.8,42.84991826391727
FD001,windows,randomavg,train,mae,0.2,0.8,21.310171162640604
FD001,windows,timetrust,train,mae,0.2,0.8,20.287176573718032
FD001,windows,weights,train,mae,0.2,0.8,20.07374472088284
FD001,windows,randomavg,val,mae,0.2,0.8,28.779769102732335
FD001,windows,timetrust,val,mae,0.2,0.8,28.020187307287145
FD001,windows,weights,val,mae,0.2,0.8,27.852659525694673
FD001,windows,randomavg,train,r2,0.2,0.8,0.7322949546354788
FD001,windows,timetrust,train,r2,0.2,0.8,0.751625625623597
FD001,windows,weights,train,r2,0.2,0.8,0.7538205247234414
FD001,windows,randomavg,val,r2,0.2,0.8,0.6263182726171281
FD001,windows,timetrust,val,r2,0.2,0.8,0.6397443457886025
FD001,windows,weights,val,r2,0.2,0.8,0.6409839513125242
FD001,windows,randomavg,train,rmse,0.2,0.8,31.356047638331436
FD001,windows,timetrust,train,rmse,0.2,0.8,30.25458758241203
FD001,windows,weights,train,rmse,0.2,0.8,30.085416906303312
FD001,windows,randomavg,val,rmse,0.2,0.8,42.87035197594421
FD001,windows,timetrust,val,rmse,0.2,0.8,42.11457421308558
FD001,windows,weights,val,rmse,0.2,0.8,42.03340951218511
FD002,sensors,randomavg,train,mae,0.2,0.8,30.975528017679846
FD002,sensors,timetrust,train,mae,0.2,0.8,28.21228075380678
FD002,sensors,weights,train,mae,0.2,0.8,28.39177918509831
FD002,sensors,randomavg,val,mae,0.2,0.8,32.26038518431324
FD002,sensors,timetrust,val,mae,0.2,0.8,29.752147836029213
FD002,sensors,weights,val,mae,0.2,0.8,29.909192276000976
FD002,sensors,randomavg,train,r2,0.2,0.8,0.5557592806992707
FD002,sensors,timetrust,train,r2,0.2,0.8,0.6238714600050891
FD002,sensors,weights,train,r2,0.2,0.8,0.6169600153726243
FD002,sensors,randomavg,val,r2,0.2,0.8,0.5014933652663357
FD002,sensors,timetrust,val,r2,0.2,0.8,0.5592904608085673
FD002,sensors,weights,val,r2,0.2,0.8,0.5530158268396185
FD002,sensors,randomavg,train,rmse,0.2,0.8,40.96196255874046
FD002,sensors,timetrust,train,rmse,0.2,0.8,37.91522500388104
FD002,sensors,weights,train,rmse,0.2,0.8,38.24275040297086
FD002,sensors,randomavg,val,rmse,0.2,0.8,46.03482362189041
FD002,sensors,timetrust,val,rmse,0.2,0.8,43.470903579386395
FD002,sensors,weights,val,rmse,0.2,0.8,43.74997408047236
FD002,windows,randomavg,train,mae,0.2,0.8,29.373812039693192
FD002,windows,timetrust,train,mae,0.2,0.8,28.785332450160272
FD002,windows,weights,train,mae,0.2,0.8,28.211734789389144
FD002,windows,randomavg,val,mae,0.2,0.8,30.495910485585526
FD002,windows,timetrust,val,mae,0.2,0.8,29.993046266061285
FD002,windows,weights,val,mae,0.2,0.8,29.49433098898994
FD002,windows,randomavg,train,r2,0.2,0.8,0.597571485572391
