iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,49,OptimalGlobal,5.09790773750274,0.296,OptimalGlobal,5.06869679401601,1.392
2,48,OptimalGlobal,5.49927119155958,0.31,OptimalGlobal,5.06869679401601,1.382
3,47,OptimalGlobal,5.2975687887345,0.269,OptimalGlobal,5.06869679401601,1.46
4,46,OptimalGlobal,5.49153890311627,0.291,OptimalGlobal,5.06869679401601,1.699
5,45,OptimalGlobal,5.50455393004067,0.375,OptimalGlobal,5.06869679401601,1.422
6,44,OptimalGlobal,6.76796148603414,0.443,OptimalGlobal,5.06869679401601,8.762
7,43,OptimalGlobal,5.25666708028642,0.244,OptimalGlobal,5.06869679401601,2.087
8,42,OptimalGlobal,5.53339592945529,0.311,OptimalGlobal,5.06869679401601,1.074
9,41,OptimalGlobal,5.47102616464996,0.302,OptimalGlobal,5.06869679401601,1.404
10,40,OptimalGlobal,5.88542629680834,0.342,OptimalGlobal,5.06869679401601,3.022
11,39,OptimalGlobal,6.75840578561346,0.3,OptimalGlobal,5.06869679401601,3.331
12,38,OptimalGlobal,6.68792055861046,0.351,OptimalGlobal,5.06869679401601,1.116
13,37,OptimalGlobal,6.03909860862056,0.255,OptimalGlobal,5.06869679401601,0.891
14,36,OptimalGlobal,5.64953417629199,0.298,OptimalGlobal,5.06869679401601,2.612
15,35,OptimalGlobal,5.82831089847152,0.299,OptimalGlobal,5.06869679401601,1.521
16,34,OptimalGlobal,5.48779020757607,0.219,OptimalGlobal,5.06869679401601,2.456
17,33,OptimalGlobal,6.83311539725421,0.321,OptimalGlobal,5.06869679401601,1.391
18,32,OptimalGlobal,5.71140253440901,0.209,OptimalGlobal,5.06869679401601,1.323
19,31,OptimalGlobal,7.33293241590278,0.307,OptimalGlobal,5.06869679401601,5.403
20,30,OptimalGlobal,5.82154610755129,0.308,OptimalGlobal,5.06869679401601,1.78
21,29,OptimalGlobal,6.15406579385338,0.354,OptimalGlobal,5.06869679401601,1.216
22,28,OptimalGlobal,5.47300236098686,0.29,OptimalGlobal,5.06869679401601,1.228
23,27,OptimalGlobal,5.82255651788801,0.308,OptimalGlobal,5.06869679401601,1.576
24,26,OptimalGlobal,5.45757155345079,0.393,OptimalGlobal,5.06869679401601,1.209
25,25,OptimalGlobal,5.60866609855355,0.323,OptimalGlobal,5.06869679401601,1.185
26,24,OptimalGlobal,6.91583169352392,0.284,OptimalGlobal,5.06869679401601,0.956
27,23,OptimalGlobal,5.48541291685149,0.304,OptimalGlobal,5.06869679401601,0.702
28,22,OptimalGlobal,6.5886138879416,0.32,OptimalGlobal,5.06869679401601,1.702
29,21,OptimalGlobal,5.56595355458296,0.397,OptimalGlobal,5.06869679401601,0.93
30,20,OptimalGlobal,6.21619129690653,0.421,OptimalGlobal,5.06869679401601,1.104
31,19,OptimalGlobal,5.61922775207255,0.205,OptimalGlobal,5.06869679401601,2.032
32,18,OptimalGlobal,5.90227651528711,0.249,OptimalGlobal,5.06869679401601,0.929
33,17,OptimalGlobal,5.61612017452133,0.284,OptimalGlobal,5.06869679401601,1.247
34,16,OptimalGlobal,6.17673290323101,0.268,OptimalGlobal,5.06869679401601,2.499
35,15,OptimalGlobal,5.67468431560332,0.197,OptimalGlobal,5.06869679401601,1.803
36,14,OptimalGlobal,6.35468983515592,0.219,OptimalGlobal,5.06869679401601,2.486
37,13,OptimalGlobal,6.95450044940704,0.194,OptimalGlobal,5.06869679401601,0.902
38,12,OptimalGlobal,6.20954692026057,0.203,OptimalGlobal,5.06869679401601,1.038
39,11,OptimalGlobal,7.20527988084838,0.231,OptimalGlobal,5.06869679401601,1.835
40,10,OptimalGlobal,7.66897148627241,0.166,OptimalGlobal,5.06869679401601,1.736
41,9,OptimalGlobal,7.07983672641084,0.166,OptimalGlobal,5.06869679401601,1.208
42,8,OptimalGlobal,7.27916950195549,0.183,OptimalGlobal,5.06869679401601,2.386
43,7,OptimalGlobal,7.23498673381275,0.136,OptimalGlobal,5.06869679401601,1.362
44,6,OptimalGlobal,7.75789023293018,0.13,OptimalGlobal,5.06869679401601,1.047
45,5,OptimalGlobal,8.74919463906488,0.083,OptimalGlobal,5.06869679401601,2.419
46,4,OptimalGlobal,11.0653726491897,0.018,Feasible,6.11167529127928,60.083
47,3,OptimalGlobal,7.82544398714846,0.048,OptimalGlobal,5.06869679401601,1.333
48,2,OptimalGlobal,8.78573521891009,0.026,OptimalGlobal,5.06869679401601,1.138
49,1,OptimalGlobal,9.30161122906723,0.032,OptimalGlobal,5.06869679401601,0.34
