iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,9,50,False,True,172.44189453125,168.739501953125,13.131713312864015,12.989976980469404,10.556182861328125,10.55332088470459,-0.1758439540863037,-0.23683130741119385,0.0
2,8,45,False,False,180.01841735839844,170.8443145751953,13.417094221864824,13.070742694093374,10.754739761352539,10.617467880249023,-0.22750651836395264,-0.25225913524627686,5.1093180979951285
3,7,40,False,False,181.75509643554688,181.7902069091797,13.481657777719581,13.48295987197098,10.777931213378906,11.118151664733887,-0.2393486499786377,-0.33249056339263916,4.925061737012584
4,6,35,False,False,181.02276611328125,185.4237060546875,13.454470116406712,13.617037344983949,10.815163612365723,11.096009254455566,-0.23435497283935547,-0.3591235876083374,4.758154522976838
5,5,30,False,False,187.8705596923828,190.89065551757812,13.706588185700438,13.816318450208728,10.884588241577148,11.409893035888672,-0.28104865550994873,-0.39919543266296387,4.673244395002257
6,4,25,False,False,176.96389770507812,168.732666015625,13.302777819127783,12.989713854262726,10.654905319213867,10.611204147338867,-0.20667850971221924,-0.23678123950958252,4.754268723016139
7,3,20,False,False,181.6730194091797,178.46298217773438,13.478613408254564,13.359003786874768,10.717232704162598,11.002384185791016,-0.23878896236419678,-0.30810272693634033,5.159323378000408
8,2,15,False,False,194.0797882080078,176.34620666503906,13.93125221249001,13.27954090565781,10.98045825958252,10.747197151184082,-0.32338809967041016,-0.2925870418548584,4.709510220971424
9,1,10,False,False,181.406982421875,172.34104919433594,13.468740936771892,13.127872988200942,10.7196044921875,10.77503490447998,-0.236974835395813,-0.26322996616363525,4.7907576220459305
10,0,5,True,False,233.4090118408203,210.0712432861328,15.277729276329657,14.493834664647338,11.917174339294434,11.418633460998535,-0.5915654897689819,-0.5397857427597046,4.800811900990084
