iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,49,OptimalGlobal,4.13016620651273,0.499,OptimalGlobal,4.19472008481359,12.29
2,48,OptimalGlobal,4.34232270913019,0.492,OptimalGlobal,4.19472008481359,13.004
3,47,OptimalGlobal,3.84553225582904,0.481,OptimalGlobal,4.19472008481359,11.56
4,46,OptimalGlobal,4.46302484236196,0.461,OptimalGlobal,4.19472008481359,6.494
5,45,OptimalGlobal,4.47341225310767,0.51,OptimalGlobal,4.19472008481359,4.996
6,44,OptimalGlobal,4.31489861270722,0.592,OptimalGlobal,4.19472008481359,11.173
7,43,OptimalGlobal,4.17328762373703,0.414,OptimalGlobal,4.19472008481359,7.081
8,42,OptimalGlobal,4.15597790153434,0.508,OptimalGlobal,4.19472008481359,3.998
9,41,OptimalGlobal,3.98376660679361,0.832,OptimalGlobal,4.19472008481359,7.738
10,40,OptimalGlobal,3.95200699707356,0.399,OptimalGlobal,4.19472008481359,20.313
11,39,OptimalGlobal,4.57669169120913,0.414,OptimalGlobal,4.1947200848136,8.799
12,38,OptimalGlobal,4.3049356385349,0.445,OptimalGlobal,4.19472008481359,5.024
13,37,OptimalGlobal,4.38770349630702,0.494,OptimalGlobal,4.19472008481359,4.501
14,36,OptimalGlobal,4.35577074502275,0.411,OptimalGlobal,4.19472008481359,17.658
15,35,OptimalGlobal,4.1244852001134,0.457,OptimalGlobal,4.1947200848136,10.772
16,34,OptimalGlobal,4.36342334982402,0.545,OptimalGlobal,4.19472008481359,18.471
17,33,OptimalGlobal,4.41589529572029,0.512,OptimalGlobal,4.19472008481359,6.216
18,32,OptimalGlobal,4.52483993714671,0.496,OptimalGlobal,4.1947200848136,3.538
19,31,OptimalGlobal,4.46365133270677,0.359,OptimalGlobal,4.19472008481359,4.959
20,30,OptimalGlobal,4.40123038531717,0.406,OptimalGlobal,4.19472008481359,10.353
21,29,OptimalGlobal,4.37655666279724,0.58,OptimalGlobal,4.19472008481359,3.739
22,28,OptimalGlobal,4.43376838497241,0.356,OptimalGlobal,4.1947200848136,3.349
23,27,OptimalGlobal,4.35220959053298,0.491,OptimalGlobal,4.1947200848136,6.422
24,26,OptimalGlobal,4.71643667781019,0.443,OptimalGlobal,4.19472008481359,15.721
25,25,OptimalGlobal,4.27925572511144,0.334,OptimalGlobal,4.19472008481359,4.193
26,24,OptimalGlobal,4.51960434796263,0.341,OptimalGlobal,4.19472008481359,3.064
27,23,OptimalGlobal,4.42015178383317,0.442,OptimalGlobal,4.19472008481359,5.619
28,22,OptimalGlobal,4.53426176833165,0.504,OptimalGlobal,4.1947200848136,12.95
29,21,OptimalGlobal,4.47418449960515,0.368,OptimalGlobal,4.1947200848136,9.413
30,20,OptimalGlobal,4.20272213909002,0.408,OptimalGlobal,4.19472008481359,5.591
31,19,OptimalGlobal,4.18323071344133,0.554,OptimalGlobal,4.19472008481361,5.001
32,18,OptimalGlobal,4.12011473483609,0.319,OptimalGlobal,4.19472008481359,16.619
33,17,OptimalGlobal,4.13218767942494,0.477,OptimalGlobal,4.19472008481361,4.952
34,16,OptimalGlobal,4.02184939214718,0.35,OptimalGlobal,4.19472008481359,4.401
35,15,OptimalGlobal,4.33505000112452,0.301,OptimalGlobal,4.19472008481359,3.623
36,14,OptimalGlobal,4.19310986213607,0.44,OptimalGlobal,4.19472008481359,6.016
37,13,OptimalGlobal,4.35473520935855,0.279,OptimalGlobal,4.19472008481359,3.649
38,12,OptimalGlobal,4.1309098813925,0.665,OptimalGlobal,4.19472008481359,4.497
39,11,OptimalGlobal,4.52230926187037,0.321,OptimalGlobal,4.1947200848136,3.514
40,10,OptimalGlobal,4.19132513421242,0.303,OptimalGlobal,4.19472008481358,7.229
41,9,OptimalGlobal,4.09772856271509,0.338,OptimalGlobal,4.1947200848136,7.107
42,8,OptimalGlobal,4.02707332897774,0.333,OptimalGlobal,4.19472008481359,36.874
43,7,OptimalGlobal,4.12113493004578,0.256,OptimalGlobal,4.19472008481359,2.905
44,6,OptimalGlobal,4.40737105441488,0.237,OptimalGlobal,4.19472008481359,6.761
45,5,OptimalGlobal,4.96212112233478,0.223,OptimalGlobal,4.1947200848136,8.739
46,4,OptimalGlobal,4.49497802982169,0.253,OptimalGlobal,4.19472008481359,11.482
47,3,OptimalGlobal,4.22007187622149,0.187,OptimalGlobal,4.19472008481359,21.619
48,2,OptimalGlobal,4.4092610325867,0.109,OptimalGlobal,4.19472008481359,4.966
49,1,OptimalGlobal,4.11782382992143,0.026,OptimalGlobal,4.1947200848136,0.902
