iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,49,OptimalGlobal,3.85617548011558,1.065,OptimalGlobal,4.00115956570455,17.119
2,48,OptimalGlobal,3.81492545782098,1.187,OptimalGlobal,4.00115956570455,20.384
3,47,OptimalGlobal,3.93254733412809,1.164,OptimalGlobal,4.00115956570455,26.698
4,46,OptimalGlobal,3.92223946847218,1.052,OptimalGlobal,4.00115956570455,14.352
5,45,OptimalGlobal,3.97651131466081,1.086,OptimalGlobal,4.00115956570455,12.649
6,44,OptimalGlobal,3.46071675263583,1.24,OptimalGlobal,4.00115956570456,29.536
7,43,OptimalGlobal,3.73639075467614,1.116,OptimalGlobal,4.00115956570455,26.359
8,42,OptimalGlobal,3.61780332951892,1.762,OptimalGlobal,4.00115956570455,25.113
9,41,OptimalGlobal,3.67308147271069,1.038,OptimalGlobal,4.00115956570455,28.879
10,40,OptimalGlobal,3.62607770146277,1.533,OptimalGlobal,4.00115956570456,21.624
11,39,OptimalGlobal,3.91310336853234,0.973,OptimalGlobal,4.00115956570455,16.954
12,38,OptimalGlobal,3.61838979374993,1.361,OptimalGlobal,4.00115956570455,27.037
13,37,OptimalGlobal,3.20753022626373,1.933,OptimalGlobal,4.00115956570454,28.889
14,36,OptimalGlobal,3.27045759596432,1.58,OptimalGlobal,4.00115956570455,13.96
15,35,OptimalGlobal,3.49184017348665,1.417,OptimalGlobal,4.00115956570455,31.386
16,34,OptimalGlobal,4.11932640666691,1.287,OptimalGlobal,4.00115956570455,21.117
17,33,OptimalGlobal,3.27535540130575,1.056,OptimalGlobal,4.00115956570455,41.845
18,32,OptimalGlobal,3.7027389887604,1.425,OptimalGlobal,4.00115956570455,15.533
19,31,OptimalGlobal,3.56624774571277,1.513,OptimalGlobal,4.00115956570455,40.728
20,30,OptimalGlobal,3.63468204082495,1.945,OptimalGlobal,4.00115956570455,20.567
21,29,OptimalGlobal,3.35695231228191,2.133,Feasible,4.00115956570455,60.256
22,28,OptimalGlobal,3.88738634541336,1.283,OptimalGlobal,4.00115956570456,16.163
23,27,OptimalGlobal,2.94934592481597,1.069,OptimalGlobal,4.00115956570455,22.091
24,26,OptimalGlobal,4.23000951271398,0.804,OptimalGlobal,4.00115956570456,10.227
25,25,OptimalGlobal,3.16112379904405,2.351,Feasible,4.00115956570455,60.222
26,24,OptimalGlobal,3.63940732038777,1.491,OptimalGlobal,4.00115956570455,55.682
27,23,OptimalGlobal,3.54823457853602,1.183,OptimalGlobal,4.00115956570456,23.398
28,22,OptimalGlobal,3.64936852703675,1.49,OptimalGlobal,4.00115956570455,26.792
29,21,OptimalGlobal,3.74723941520197,1.348,OptimalGlobal,4.00115956570455,9.312
30,20,OptimalGlobal,3.81259189303568,2.298,OptimalGlobal,4.00115956570455,44.414
31,19,OptimalGlobal,3.52436541582832,1.267,OptimalGlobal,4.00115956570455,24.21
32,18,OptimalGlobal,3.24125466660955,1.272,OptimalGlobal,4.00115956570455,17.5
33,17,OptimalGlobal,3.20288895522352,1.149,OptimalGlobal,4.00115956570455,36.959
34,16,OptimalGlobal,3.38276158001208,1.572,OptimalGlobal,4.00115956570455,42.563
35,15,OptimalGlobal,3.64505854814116,1.168,OptimalGlobal,4.00115956570456,35.635
36,14,OptimalGlobal,3.40380960432416,1.299,OptimalGlobal,4.00115956570455,16.442
37,13,OptimalGlobal,3.65255100141627,1.337,OptimalGlobal,4.00115956570455,21.253
38,12,OptimalGlobal,3.45290174144865,1.41,OptimalGlobal,4.00115956570456,11.305
39,11,OptimalGlobal,3.82490188624488,2.271,OptimalGlobal,4.00115956570455,38.083
40,10,OptimalGlobal,3.74717121030909,1.115,OptimalGlobal,4.00115956570455,59.5
41,9,OptimalGlobal,4.09304575434659,0.886,OptimalGlobal,4.00115956570455,33.748
42,8,OptimalGlobal,3.99326800816207,1.573,OptimalGlobal,4.00115956570455,42.088
43,7,OptimalGlobal,3.67566805940028,0.91,OptimalGlobal,4.00115956570457,5.94
44,6,OptimalGlobal,3.95569326090077,0.723,OptimalGlobal,4.00115956570456,24.881
45,5,OptimalGlobal,3.47632552041216,0.977,Feasible,11.3103288623597,60.114
46,4,OptimalGlobal,3.86906001104519,0.756,OptimalGlobal,4.00115956570454,17.652
47,3,OptimalGlobal,3.79108382540175,0.529,OptimalGlobal,4.00115956570455,12.472
48,2,OptimalGlobal,3.96822395066143,0.483,Feasible,4.26720708997509,60.172
49,1,OptimalGlobal,4.0253832276577,0.049,OptimalGlobal,4.00115956570455,13.418
