iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,14,OptimalGlobal,7.51461169457521,1.994,OptimalGlobal,11.5659595772984,54.578
2,13,OptimalGlobal,6.47198228935538,1.471,Feasible,12.9616850353054,60.389
3,12,OptimalGlobal,6.49502255740336,1.088,OptimalGlobal,11.5659595772983,52.244
4,11,OptimalGlobal,7.3051452816143,1.322,OptimalGlobal,11.5659595772983,53.612
5,10,OptimalGlobal,6.99900617325263,1.084,OptimalGlobal,11.5659595772983,52.202
6,9,OptimalGlobal,6.97005447824638,1.472,Feasible,15.8663904105701,60.378
7,8,OptimalGlobal,6.93071955136152,1.76,OptimalGlobal,11.5659595772984,49.95
8,7,OptimalGlobal,8.93815747529651,1.235,Feasible,54.7043356074759,60.115
9,6,OptimalGlobal,10.7089598894759,1.316,Feasible,74.3554912289892,60.176
10,5,OptimalGlobal,11.3419799992699,0.894,OptimalGlobal,11.5659595772983,45.228
11,4,OptimalGlobal,7.81114911879286,0.729,OptimalGlobal,11.5659595772984,6.38
12,3,OptimalGlobal,14.184587538903,0.588,OptimalGlobal,11.5659595772983,14.333
13,2,OptimalGlobal,15.0245235707449,0.704,Feasible,11.5659595772983,60.343
14,1,OptimalGlobal,34.6771651185748,0.063,Feasible,25.6981238545147,60.213
