iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,7.77283025529628,0.97,Feasible,47.6590936086792,60.176
2,28,OptimalGlobal,7.95520027165675,0.733,OptimalGlobal,11.5659599068807,50.53
3,27,OptimalGlobal,8.00036132779967,0.732,Feasible,60.9607586641455,60.171
4,26,OptimalGlobal,7.621303012386,0.783,Feasible,56.6050020656098,60.155
5,25,OptimalGlobal,9.21779053584778,0.734,OptimalGlobal,11.5659599068807,32.414
6,24,OptimalGlobal,7.90322071953912,1.053,OptimalGlobal,11.5659599068807,44.48
7,23,OptimalGlobal,7.71212754797409,0.581,OptimalGlobal,11.5659599068807,45.998
8,22,OptimalGlobal,5.50473898831956,0.652,Feasible,26.0706907521897,60.793
9,21,OptimalGlobal,5.81255112884357,0.733,OptimalGlobal,11.5659599068806,32.883
10,20,OptimalGlobal,9.658068937296,0.534,OptimalGlobal,11.5659599068807,54.39
11,19,OptimalGlobal,7.96848005126035,0.446,OptimalGlobal,11.5659599068807,50.544
12,18,OptimalGlobal,7.33579415393581,0.711,OptimalGlobal,11.5659599068807,57.972
13,17,OptimalGlobal,6.67128016301742,0.799,Feasible,13.3713646875613,60.323
14,16,OptimalGlobal,10.0504277614613,0.876,OptimalGlobal,11.5659599068807,27.85
15,15,OptimalGlobal,8.49034304360781,0.899,OptimalGlobal,11.5659599068807,51.943
16,14,OptimalGlobal,7.51408245916808,0.833,OptimalGlobal,11.5659599068807,19.807
17,13,OptimalGlobal,8.31568246477044,0.513,OptimalGlobal,11.5659599068807,40.235
18,12,OptimalGlobal,9.36006971181457,0.597,OptimalGlobal,11.5659599068807,57.332
19,11,OptimalGlobal,10.9288798442684,0.49,OptimalGlobal,11.5659599068807,52.698
20,10,OptimalGlobal,11.7576029088489,0.405,OptimalGlobal,11.5659599068807,42.524
21,9,OptimalGlobal,10.9200390653507,1.202,OptimalGlobal,11.5659599068807,25.352
22,8,OptimalGlobal,8.85894350675446,0.947,OptimalGlobal,11.5659599068807,21.768
23,7,OptimalGlobal,8.58713979219866,0.859,OptimalGlobal,11.5659599068807,52.669
24,6,OptimalGlobal,10.4808766503666,0.533,OptimalGlobal,11.5659599068807,29.985
25,5,OptimalGlobal,11.6809792993943,0.484,OptimalGlobal,11.5659599068807,46.321
26,4,OptimalGlobal,9.49660197508508,1.024,OptimalGlobal,11.5659599068807,18.767
27,3,OptimalGlobal,10.4728838160507,0.739,OptimalGlobal,11.5659599068807,14.217
28,2,OptimalGlobal,11.0458938730624,0.381,OptimalGlobal,11.5659599068807,15.151
29,1,OptimalGlobal,20.1944723547667,0.053,OptimalGlobal,11.5659599068807,44.893
