iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,450,False,True,788.0714721679688,1749.486572265625,28.07261071165218,41.82686424136556,17.858936309814453,26.150165557861328,0.7865939140319824,0.6449164152145386,0.0
2,28,435,False,False,845.701416015625,1670.7978515625,29.08094592711222,40.87539420681469,19.094398498535156,26.89311408996582,0.7709879875183105,0.6608874201774597,13.642134040012024
3,27,420,False,False,824.8103637695312,1582.8779296875,28.719511899917993,39.78539844826868,19.510740280151367,26.673398971557617,0.7766451835632324,0.6787320375442505,13.268212815979496
4,26,405,False,False,850.7355346679688,1680.4720458984375,29.167371061992693,40.993561029732916,19.46533203125,26.823043823242188,0.7696247696876526,0.658923864364624,13.471000113000628
5,25,390,False,False,1036.464111328125,1727.9920654296875,32.194162690278574,41.56912394349546,21.981616973876953,28.49103355407715,0.7193303108215332,0.649278998374939,12.516071845020633
6,24,375,False,False,851.8038330078125,1755.73486328125,29.18567856000289,41.90148998879694,19.629911422729492,27.19888687133789,0.7693354487419128,0.6436482071876526,12.2892339330283
7,23,360,False,False,880.8851928710938,1652.6376953125,29.679710121075875,40.65264684264113,19.968441009521484,27.22736930847168,0.7614603638648987,0.6645733118057251,12.976893939019646
8,22,345,False,False,800.6756591796875,1608.494384765625,28.296212806304794,40.10603925552391,19.45412826538086,26.819473266601562,0.7831807136535645,0.6735327839851379,12.804568835999817
9,21,330,False,False,908.623779296875,1702.5455322265625,30.143386991127507,41.261913821665644,20.63309097290039,27.369993209838867,0.7539488673210144,0.6544437408447266,13.567115127982106
10,20,315,False,False,988.429443359375,1799.09619140625,31.439297755506164,42.41575404736134,21.349010467529297,28.304344177246094,0.7323378920555115,0.6348474025726318,13.170819477993064
11,19,300,False,False,939.2762451171875,1733.043212890625,30.647614019972053,41.62983560969975,20.81180763244629,27.668081283569336,0.7456483244895935,0.6482537984848022,13.014920574962161
12,18,285,False,False,913.1121826171875,1673.082275390625,30.21774615382801,40.90332841457557,20.63174819946289,27.598590850830078,0.7527334690093994,0.660423755645752,12.541001981997397
13,17,270,False,False,934.0606079101562,1893.9884033203125,30.562405139487243,43.51997706019975,20.052677154541016,27.935527801513672,0.7470607161521912,0.6155877113342285,12.118515524023678
14,16,255,False,False,1037.9366455078125,1749.4735107421875,32.21702415661342,41.826708103103066,22.014638900756836,28.429004669189453,0.7189315557479858,0.6449190378189087,12.87732148298528
15,15,240,False,False,949.990478515625,1746.049560546875,30.8219155555852,41.785757867326936,20.93008041381836,28.06960678100586,0.7427469491958618,0.6456140279769897,12.603411629039329
16,14,225,False,False,932.4967041015625,1755.7255859375,30.536809003259698,41.901379284428096,20.610210418701172,27.55907440185547,0.7474842071533203,0.6436500549316406,12.276824624976143
17,13,210,False,False,1013.3809814453125,1783.558837890625,31.833645431293483,42.232201433155545,21.22962188720703,28.089054107666016,0.7255811095237732,0.6380009651184082,13.248408144980203
18,12,195,False,False,997.1243896484375,1747.50537109375,31.577276476106004,41.803174174860814,21.36581802368164,28.227096557617188,0.7299833297729492,0.6453185081481934,11.87171707302332
19,11,180,False,False,1007.3699340820312,1776.84423828125,31.739091576194035,42.152630265278226,21.925634384155273,28.645633697509766,0.7272088527679443,0.6393637657165527,12.13102552399505
20,10,165,False,False,1049.8038330078125,1837.53076171875,32.400676428244715,42.866429309177946,21.952138900756836,28.86141586303711,0.7157180309295654,0.6270465850830078,12.131110267015174
21,9,150,False,False,1030.4429931640625,1796.0870361328125,32.10051390809908,42.380267060659406,22.190650939941406,28.94255256652832,0.720960795879364,0.6354581713676453,11.956476669001859
22,8,135,False,False,1047.414794921875,1820.8291015625,32.36378832772633,42.67117412917648,22.137094497680664,28.827152252197266,0.7163649797439575,0.6304364204406738,11.418155852006748
23,7,120,False,False,1031.2232666015625,1894.738037109375,32.11266520551607,43.52858873326098,22.267688751220703,29.82806968688965,0.7207494974136353,0.6154354810714722,12.93121913104551
24,6,105,False,False,1098.8572998046875,1862.833984375,33.14901657371886,43.16056051970364,23.34315299987793,30.208980560302734,0.7024345397949219,0.6219109296798706,11.66875308402814
25,5,90,False,False,1111.9189453125,1900.0770263671875,33.345448644642644,43.58987297947985,23.45989990234375,30.861265182495117,0.6988974809646606,0.6143518686294556,11.604408250015695
26,4,75,False,False,1096.30419921875,1985.35205078125,33.11048473246428,44.55728953584643,22.393157958984375,30.270957946777344,0.7031258940696716,0.5970441102981567,11.253245466970839
27,3,60,False,False,1129.3699951171875,1939.16259765625,33.606100563992655,44.03592394461879,23.328500747680664,30.745065689086914,0.6941718459129333,0.6064189076423645,11.174853732984047
28,2,45,False,False,1251.8472900390625,2156.08349609375,35.38145404076919,46.43364616410982,24.625640869140625,32.29447937011719,0.6610055565834045,0.5623916387557983,11.008377591962926
29,1,30,False,False,1300.7066650390625,2216.673583984375,36.06531110414913,47.08156310047889,25.7562255859375,33.37769317626953,0.6477746963500977,0.5500940084457397,11.07253307197243
30,0,15,True,False,1388.643798828125,2408.614990234375,37.26451125170066,49.077642468178674,26.815353393554688,35.40111541748047,0.6239616870880127,0.5111367702484131,11.067936604027636
