iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,630,False,True,1491.3099365234375,1917.9635009765625,38.61748226546414,43.79456017562641,28.699289321899414,29.858688354492188,0.6100589632987976,0.5531964898109436,0.0
2,28,609,False,False,1505.2750244140625,1945.9285888671875,38.79787396770682,44.11268059036072,28.78273582458496,30.149364471435547,0.6064074039459229,0.5466817617416382,29.692905071016867
3,27,588,False,False,1499.8580322265625,1895.7005615234375,38.72800062263172,43.539643562200155,28.763904571533203,29.710529327392578,0.6078238487243652,0.5583827495574951,28.894555051985662
4,26,567,False,False,1474.1531982421875,1872.8939208984375,38.39470273673424,43.27694444965399,28.476755142211914,29.60304069519043,0.6145450472831726,0.5636957883834839,28.460316670010798
5,25,546,False,False,1497.10400390625,1875.4755859375,38.69242825032115,43.30676143441691,28.758819580078125,29.631839752197266,0.6085439324378967,0.5630943775177002,27.53236332599772
6,24,525,False,False,1490.16015625,1908.3548583984375,38.60259261047113,43.684721109312775,28.727802276611328,30.011289596557617,0.6103595495223999,0.5554348826408386,26.998771842976566
7,23,504,False,False,1475.3350830078125,1844.891357421875,38.410090900801215,42.95219851674504,28.579059600830078,29.467731475830078,0.6142359972000122,0.5702191591262817,27.420377890986856
8,22,483,False,False,1500.738525390625,1907.96044921875,38.739366610602,43.68020660686886,28.58959197998047,29.688289642333984,0.6075935959815979,0.5555267333984375,27.139151327020954
9,21,462,False,False,1507.7860107421875,1904.7725830078125,38.83022032827251,43.64370038170242,28.737985610961914,29.731950759887695,0.6057508587837219,0.5562694072723389,27.121044252999127
10,20,441,False,False,1480.9698486328125,1870.834228515625,38.48337106638155,43.25314125604781,28.4482364654541,29.48915672302246,0.6127626895904541,0.5641756057739258,26.41561400500359
11,19,420,False,False,1492.499755859375,1887.841064453125,38.63288438441239,43.44929302592995,28.45492935180664,29.63146209716797,0.6097478866577148,0.5602136850357056,26.001262663980015
12,18,399,False,False,1478.6817626953125,1866.04296875,38.45363133301343,43.19771948552377,28.39919662475586,29.461484909057617,0.6133608818054199,0.5652917623519897,26.043882250029128
13,17,378,False,False,1482.3316650390625,1862.317626953125,38.501060570314976,43.154578284964444,28.492788314819336,29.459924697875977,0.6124066114425659,0.5661596059799194,25.89107473898912
14,16,357,False,False,1485.014404296875,1871.643798828125,38.53588463104065,43.26249875848741,28.500343322753906,29.6286563873291,0.6117050647735596,0.5639869570732117,24.60666944104014
15,15,336,False,False,1482.4967041015625,1836.1827392578125,38.50320381606656,42.85070290272743,28.37195587158203,29.050851821899414,0.6123633980751038,0.5722478628158569,24.316479159984738
16,14,315,False,False,1474.914794921875,1840.103271484375,38.40461944768982,42.89642492661102,28.40920066833496,29.366254806518555,0.614345908164978,0.5713346004486084,23.728366205003113
17,13,294,False,False,1482.37060546875,1870.3382568359375,38.50156627292908,43.24740751577992,28.374488830566406,29.342700958251953,0.6123963594436646,0.5642911195755005,24.186618726002052
18,12,273,False,False,1473.685791015625,1848.8826904296875,38.38861538289216,42.99863591359251,28.260358810424805,29.24222755432129,0.6146672964096069,0.5692893266677856,25.083338730037212
19,11,252,False,False,1496.88037109375,1846.457275390625,38.68953826415805,42.97042326287495,28.77112579345703,29.390260696411133,0.6086024045944214,0.5698543787002563,24.192654439015314
20,10,231,False,False,1470.0546875,1851.916748046875,38.34129219914217,43.0339023102353,28.241092681884766,29.186702728271484,0.6156166791915894,0.5685825347900391,23.171001058944967
21,9,210,False,False,1467.5914306640625,1815.2176513671875,38.309155963869294,42.605371156313,28.21639060974121,28.922771453857422,0.6162607669830322,0.5771318674087524,23.416077094967477
22,8,189,False,False,1468.2025146484375,1845.677001953125,38.31713082484696,42.96134311160587,28.147275924682617,29.32848358154297,0.6161009669303894,0.5700361728668213,23.95436815195717
23,7,168,False,False,1447.2738037109375,1859.359130859375,38.04305197681881,43.120286766896335,27.74106216430664,29.274961471557617,0.6215733289718628,0.5668487548828125,22.28285853698617
24,6,147,False,False,1444.1614990234375,1776.8314208984375,38.002124927738414,42.15247822961821,28.140262603759766,29.04218292236328,0.6223871111869812,0.5860742330551147,22.92372634995263
25,5,126,False,False,1455.1673583984375,1845.96875,38.14665592681012,42.964738449104985,27.8472957611084,29.087209701538086,0.6195093393325806,0.5699681639671326,22.699972058006097
26,4,105,False,False,1442.1556396484375,1791.2298583984375,37.97572434659328,42.322923556843726,27.900287628173828,28.842153549194336,0.6229115724563599,0.5827199816703796,21.498595937038772
27,3,84,False,False,1460.7733154296875,1827.8436279296875,38.22006430436358,42.75328791952366,27.962339401245117,29.06985092163086,0.6180435419082642,0.5741905570030212,21.166899458970875
28,2,63,False,False,1511.68701171875,1849.7110595703125,38.880419387125315,43.008267339783785,28.996158599853516,29.751384735107422,0.6047308444976807,0.5690963864326477,19.769689744978677
29,1,42,False,False,1489.9232177734375,1816.0823974609375,38.599523543347495,42.61551827047205,28.667213439941406,29.432851791381836,0.6104215383529663,0.5769304037094116,18.9715710930177
30,0,21,True,False,1532.08984375,1846.711181640625,39.141919265028385,42.97337759172096,28.948495864868164,29.75462532043457,0.5993959903717041,0.5697951912879944,19.38295882201055
