iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,15,OptimalGlobal,10.463554420633,0.224,OptimalGlobal,8.73777099620221,11.185
2,14,OptimalGlobal,9.13743839410914,0.253,OptimalGlobal,8.73777099620221,23.981
3,13,OptimalGlobal,11.6384738604655,0.213,Feasible,8.73777099620221,60.507
4,12,OptimalGlobal,12.6377875679696,0.2,OptimalGlobal,8.73777099620221,34.866
5,11,OptimalGlobal,10.4075658140823,0.21,OptimalGlobal,8.7377709962022,45.301
6,10,OptimalGlobal,14.7683839870901,0.229,OptimalGlobal,8.73777099620223,16.64
7,9,OptimalGlobal,17.5806230064941,0.156,OptimalGlobal,8.73777099620221,10.542
8,8,OptimalGlobal,12.7523646800007,0.217,OptimalGlobal,8.73777099620221,38.522
9,7,OptimalGlobal,19.1909257466707,0.168,OptimalGlobal,8.73777099620221,5.566
10,6,OptimalGlobal,18.3581817783879,0.16,OptimalGlobal,8.73777099620221,16.417
11,5,OptimalGlobal,17.3282030261383,0.113,OptimalGlobal,8.73777099620221,35.358
12,4,OptimalGlobal,16.7093187461476,0.098,OptimalGlobal,8.7377709962022,33.896
13,3,OptimalGlobal,36.0093641058729,0.081,Feasible,12.396245261432,60.154
14,2,OptimalGlobal,31.0954635066262,0.058,Feasible,16.1363537288525,60.177
15,1,OptimalGlobal,56.5882879344246,0.021,Feasible,41.9166143747779,60.081
