iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,480,False,True,2283.1533203125,1696.593505859375,47.78235364977849,41.1897257317814,32.12977600097656,27.59368324279785,0.7405006885528564,0.7939589023590088,0.0
2,28,464,False,False,2284.671875,1668.9227294921875,47.79824133794046,40.85245071586511,32.75250244140625,27.520490646362305,0.7403280735015869,0.7973194122314453,13.988031157001387
3,27,448,False,False,2252.224365234375,1749.971435546875,47.45760597875092,41.832659914794746,31.92025375366211,28.090681076049805,0.7440160512924194,0.7874764800071716,12.937419726978987
4,26,432,False,False,2300.089599609375,1733.603515625,47.95924936453213,41.63656464725446,32.94599914550781,29.231760025024414,0.7385756969451904,0.7894642949104309,13.792605722963344
5,25,416,False,False,2288.105224609375,1744.8365478515625,47.83414287524524,41.77124067886376,32.79959487915039,29.06144905090332,0.7399378418922424,0.7881001234054565,13.909821884008124
6,24,400,False,False,2258.708984375,1721.982177734375,47.525876997431624,41.496773100258956,32.57110595703125,29.156740188598633,0.743278980255127,0.7908756136894226,13.704428261960857
7,23,384,False,False,2329.5380859375,1711.434326171875,48.265288623787384,41.36948544726989,32.934574127197266,28.141048431396484,0.7352286577224731,0.7921565771102905,13.22071840398712
8,22,368,False,False,2392.84375,1765.9884033203125,48.91670215785197,42.0236648011607,33.9484748840332,29.281476974487305,0.7280334234237671,0.7855313420295715,13.671994256030302
9,21,352,False,False,2323.5009765625,1710.0869140625,48.20270714972863,41.35319714438655,32.91094207763672,28.016132354736328,0.7359148263931274,0.7923202514648438,12.32743828499224
10,20,336,False,False,2342.36279296875,1679.33349609375,48.39796269440223,40.97967174214247,33.241127014160156,27.77285385131836,0.7337709665298462,0.7960550785064697,12.225586429005489
11,19,320,False,False,2357.849609375,1703.6593017578125,48.55769361671742,41.275407953862945,33.22981262207031,28.450450897216797,0.7320108413696289,0.7931008338928223,12.879432248999365
12,18,304,False,False,2377.2333984375,1735.09423828125,48.7568805240604,41.654462405380414,33.31249237060547,28.61869239807129,0.7298076748847961,0.789283275604248,12.473171510035172
13,17,288,False,False,2230.3134765625,1704.68701171875,47.22619481349837,41.287855499150716,31.877248764038086,28.159656524658203,0.7465063333511353,0.7929760217666626,12.942307020013686
14,16,272,False,False,2507.89794921875,1817.67138671875,50.07891721292255,42.634157511539385,34.87165069580078,30.50658416748047,0.714956521987915,0.7792547345161438,12.371945121965837
15,15,256,False,False,2369.11083984375,1712.654052734375,48.67351271321755,41.38422468446612,33.258216857910156,28.329362869262695,0.7307308912277222,0.7920084595680237,12.787562957964838
16,14,240,False,False,2402.7421875,1760.741455078125,49.0177741997737,41.96118986728242,33.775203704833984,29.416736602783203,0.7269084453582764,0.7861685752868652,12.393739713006653
17,13,224,False,False,2344.52099609375,1759.6754150390625,48.42025398625817,41.948485253213406,32.578346252441406,28.684314727783203,0.7335257530212402,0.7862980365753174,12.559678865014575
18,12,208,False,False,2456.609130859375,1804.012451171875,49.56419202266264,42.47366773863396,34.29377365112305,29.905454635620117,0.7207859754562378,0.7809135317802429,12.076491330983117
19,11,192,False,False,2495.989501953125,1849.3795166015625,49.95987892252267,43.00441275731553,34.32346725463867,30.38639259338379,0.7163100838661194,0.7754039764404297,11.84246663202066
20,10,176,False,False,2556.38671875,1858.2103271484375,50.560723083733684,43.10696378949041,34.80879592895508,30.603689193725586,0.7094454169273376,0.7743315696716309,12.121779310982674
21,9,160,False,False,2492.733642578125,1852.814697265625,49.92728354895873,43.04433409016366,34.10968017578125,30.22041130065918,0.7166801691055298,0.7749868035316467,11.84151592903072
22,8,144,False,False,2616.537353515625,1877.4136962890625,51.15210018675309,43.32913218942958,35.57805633544922,31.062564849853516,0.7026088237762451,0.7719994187355042,11.729307268979028
23,7,128,False,False,2684.042236328125,1944.1553955078125,51.80774301519151,44.09257755572714,35.85528564453125,31.712873458862305,0.6949362754821777,0.7638940215110779,11.995544595993124
24,6,112,False,False,2737.081787109375,1980.914306640625,52.31712709151158,44.50746349367289,36.47307586669922,32.210445404052734,0.6889079213142395,0.7594298720359802,11.392788666009437
25,5,96,False,False,2766.39501953125,2039.91748046875,52.59653048948429,45.16544564674138,35.93394470214844,31.826398849487305,0.6855762004852295,0.7522642612457275,11.160189431975596
26,4,80,False,False,2769.282470703125,1980.17822265625,52.62397239569743,44.49919350568334,36.16614532470703,32.19906234741211,0.6852480173110962,0.7595192790031433,10.932950398011599
27,3,64,False,False,2929.72607421875,2046.2847900390625,54.12694406872376,45.23587945468798,37.57375717163086,33.071956634521484,0.6670123338699341,0.7514910101890564,10.99928688898217
28,2,48,False,False,2986.010986328125,2105.779541015625,54.644404894994736,45.88877358369501,37.557071685791016,32.871028900146484,0.660615086555481,0.7442657351493835,11.004635108984075
29,1,32,False,False,3277.8251953125,2306.287841796875,57.252294236235635,48.02382577218182,40.37177658081055,34.927974700927734,0.6274479627609253,0.7199152708053589,10.968856081017293
30,0,16,True,False,3403.9951171875,2401.79541015625,58.343766738080085,49.008115758068584,41.02345275878906,35.35734558105469,0.6131076812744141,0.7083163857460022,10.274177758023143
