iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,15,OptimalGlobal,9.88846161318248,0.444,Feasible,15.8772001031094,60.472
2,14,OptimalGlobal,12.2992030380598,0.562,Feasible,44.168445867821,60.499
3,13,OptimalGlobal,9.179749959135,0.404,Feasible,9.51528341667641,60.427
4,12,OptimalGlobal,11.2325253337699,0.476,OptimalGlobal,7.82483184445261,42.583
5,11,OptimalGlobal,11.3620928633589,0.553,OptimalGlobal,7.82483184445261,35.603
6,10,OptimalGlobal,11.3622417958401,0.596,Feasible,29.4192096319978,60.644
7,9,OptimalGlobal,14.572558071136,0.75,Feasible,116.441216682088,60.177
8,8,OptimalGlobal,14.7837006915058,0.586,Feasible,8.83779114124791,60.385
9,7,OptimalGlobal,17.2472637795466,0.645,Feasible,9.73322493164535,60.273
10,6,OptimalGlobal,12.6720860614935,0.371,Feasible,14.7938345138474,60.226
11,5,OptimalGlobal,13.3063365369687,0.344,Feasible,11.0217875712535,60.353
12,4,OptimalGlobal,18.7161450479648,0.347,Feasible,24.3241416077972,60.2
13,3,OptimalGlobal,20.3176491926158,0.368,Feasible,51.7705477229066,60.347
14,2,OptimalGlobal,38.2637877868296,0.253,Feasible,117.262002306567,60.138
15,1,OptimalGlobal,85.6394691920124,0.045,Feasible,122.345000383968,60.149
