iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,9.59180900362955,0.401,Feasible,7.82483166490315,60.636
2,28,OptimalGlobal,8.0156554042708,0.418,OptimalGlobal,7.82483166490315,56.44
3,27,OptimalGlobal,11.7338801210479,0.33,Feasible,8.10197317085104,60.488
4,26,OptimalGlobal,9.7952225190505,0.371,Feasible,12.1495487002561,60.535
5,25,OptimalGlobal,10.9113414697577,0.409,Feasible,71.6023649301829,60.803
6,24,OptimalGlobal,12.5807579699084,0.297,Feasible,7.82483166490314,60.626
7,23,OptimalGlobal,11.7443989884474,0.363,OptimalGlobal,7.82483166490316,58.292
8,22,OptimalGlobal,11.2007602791786,0.384,OptimalGlobal,7.82483166490314,32.841
9,21,OptimalGlobal,11.9167344305169,0.338,Feasible,7.82483166490314,60.567
10,20,OptimalGlobal,12.5445640660964,0.282,OptimalGlobal,7.82483166490315,29.252
11,19,OptimalGlobal,11.9603001746076,0.367,OptimalGlobal,7.82483166490315,40.388
12,18,OptimalGlobal,12.3581874696822,0.278,OptimalGlobal,7.82483166490313,49.439
13,17,OptimalGlobal,11.6861029735404,0.236,Feasible,7.82483166490315,60.513
14,16,OptimalGlobal,15.0267559575088,0.309,Feasible,7.82483166490315,60.487
15,15,OptimalGlobal,12.6851989286829,0.267,OptimalGlobal,7.82483166490314,43.132
16,14,OptimalGlobal,14.2738717673982,0.28,OptimalGlobal,7.82483166490315,53.608
17,13,OptimalGlobal,15.845060077008,0.286,OptimalGlobal,7.82483166490314,18.466
18,12,OptimalGlobal,16.3775633838801,0.334,OptimalGlobal,7.82483166490315,24.338
19,11,OptimalGlobal,18.9223237272639,0.261,Feasible,8.18739695004155,60.312
20,10,OptimalGlobal,20.0783620308046,0.177,OptimalGlobal,7.82483166490315,31.757
21,9,OptimalGlobal,18.8315064011748,0.215,OptimalGlobal,7.82483166490314,15.27
22,8,OptimalGlobal,21.5032309107237,0.253,OptimalGlobal,7.82483166490315,13.665
23,7,OptimalGlobal,21.6704109191358,0.211,OptimalGlobal,7.82483166490314,58.674
24,6,OptimalGlobal,22.2882549939001,0.244,OptimalGlobal,7.82483166490316,27.526
25,5,OptimalGlobal,22.5963904391194,0.234,OptimalGlobal,7.82483166490315,12.835
26,4,OptimalGlobal,23.3675865215644,0.258,OptimalGlobal,7.82483166490315,34.473
27,3,OptimalGlobal,28.2131881753449,0.165,OptimalGlobal,7.82483166490314,23.476
28,2,OptimalGlobal,39.7107723360686,0.08,OptimalGlobal,7.82483166490315,21.473
29,1,OptimalGlobal,30.9657678491726,0.03,Feasible,8.73761790505961,60.142
