iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,15,480,False,True,1652.5028076171875,1948.1983642578125,40.650987781567956,44.13840010985687,27.449037551879883,28.130693435668945,0.8121793270111084,0.763403058052063,0.0
2,14,450,False,False,1720.473388671875,1514.726318359375,41.478589521244274,38.91948507315295,26.762954711914062,25.220895767211914,0.8044539093971252,0.8160455822944641,16.673348135023843
3,13,420,False,False,1882.6376953125,1601.1895751953125,43.38937306890364,40.014866927122384,28.238624572753906,25.834848403930664,0.7860226035118103,0.8055451512336731,16.152830974024255
4,12,390,False,False,1835.8865966796875,1478.0841064453125,42.84724724739837,38.445859418737314,27.668428421020508,24.947208404541016,0.7913362383842468,0.82049560546875,15.294808355974965
5,11,360,False,False,1814.3060302734375,1523.1649169921875,42.59467138355968,39.02774547667579,28.490201950073242,26.198284149169922,0.7937890291213989,0.8150207996368408,15.333320329955313
6,10,330,False,False,1879.6990966796875,1568.44287109375,43.35549672970761,39.603571443668436,28.983842849731445,25.90224838256836,0.7863565683364868,0.8095220327377319,15.203667799010873
7,9,300,False,False,1911.14208984375,1886.911376953125,43.716611143177026,43.438593174193905,29.167083740234375,27.862071990966797,0.7827828526496887,0.7708459496498108,15.761191879981197
8,8,270,False,False,1899.6260986328125,1614.400390625,43.584700281553076,40.17960167329935,29.201932907104492,26.041261672973633,0.7840917110443115,0.8039407730102539,15.560419098008424
9,7,240,False,False,1907.330322265625,1538.395263671875,43.67299305366676,39.22238217742358,29.28902816772461,26.12643051147461,0.7832160592079163,0.8131711483001709,14.88119959202595
10,6,210,False,False,1853.5880126953125,1490.35302734375,43.053315931473996,38.60509069208037,28.625455856323242,25.525115966796875,0.7893243432044983,0.8190056085586548,14.916659243986942
11,5,180,False,False,2118.232666015625,2070.7275390625,46.024261710706725,45.505247379423174,31.397680282592773,29.541770935058594,0.7592452764511108,0.7485226392745972,14.023546284995973
12,4,150,False,False,2346.88330078125,1994.1690673828125,48.4446416106183,44.65612015595189,33.8302001953125,31.003494262695312,0.7332571744918823,0.7578201293945312,14.090023146010935
13,3,120,False,False,2211.183349609375,1609.916015625,47.023221386984694,40.12375874248324,31.7926025390625,27.67645835876465,0.7486806511878967,0.8044853806495667,13.972663087013643
14,2,90,False,False,2435.813232421875,1851.072265625,49.353958629697324,43.02408936427359,33.86029052734375,30.2496280670166,0.7231495976448059,0.7751984000205994,13.807338601967786
15,1,60,False,False,2321.571044921875,1896.76025390625,48.18268407760069,43.551811143811804,33.68278121948242,29.582117080688477,0.7361341714859009,0.769649863243103,14.32217119197594
16,0,30,True,False,4009.77783203125,3717.451904296875,63.32280657102344,60.97091031218802,43.729618072509766,40.12052536010742,0.5442554950714111,0.5485378503799438,12.765424001030624
