iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,9.76787674422254,0.294,OptimalGlobal,10.1229789689956,1.844
2,28,OptimalGlobal,7.24444294288078,0.293,OptimalGlobal,10.1229789689956,1.959
3,27,OptimalGlobal,6.0043799562362,0.261,OptimalGlobal,10.1229789689956,1.741
4,26,OptimalGlobal,4.68965823531723,0.211,OptimalGlobal,10.1229789689956,2.029
5,25,OptimalGlobal,4.13245896569078,0.244,OptimalGlobal,10.1229789689956,1.818
6,24,OptimalGlobal,3.28651493514719,0.25,OptimalGlobal,10.1229789689956,1.748
7,23,OptimalGlobal,3.13578012882637,0.18,OptimalGlobal,10.1229789689956,1.704
8,22,OptimalGlobal,2.69823985293557,0.175,OptimalGlobal,10.1229789689956,1.501
9,21,OptimalGlobal,2.43522523373058,0.2,OptimalGlobal,10.1229789689956,1.575
10,20,OptimalGlobal,1.73116349941797,0.154,OptimalGlobal,10.1229789689956,1.175
11,19,OptimalGlobal,1.67997268005549,0.187,OptimalGlobal,10.1229789689956,1.29
12,18,OptimalGlobal,1.48302819459157,0.144,OptimalGlobal,10.1229789689956,1.331
13,17,OptimalGlobal,1.32712793412597,0.178,OptimalGlobal,10.1229789689956,1.215
14,16,OptimalGlobal,1.58261071535244,0.17,OptimalGlobal,10.1229789689956,1.14
15,15,OptimalGlobal,1.68642260511415,0.157,OptimalGlobal,10.1229789689956,1.228
16,14,OptimalGlobal,1.83089417039146,0.112,OptimalGlobal,10.1229789689956,1.033
17,13,OptimalGlobal,1.66270016258614,0.145,OptimalGlobal,10.1229789689956,0.956
18,12,OptimalGlobal,2.0425173185204,0.098,OptimalGlobal,10.1229789689956,0.86
19,11,OptimalGlobal,1.94879022491302,0.094,OptimalGlobal,10.1229789689956,0.967
20,10,OptimalGlobal,2.31160454076672,0.091,OptimalGlobal,10.1229789689956,0.792
21,9,OptimalGlobal,2.70743689732804,0.083,OptimalGlobal,10.1229789689956,0.788
22,8,OptimalGlobal,2.99807916591682,0.079,OptimalGlobal,10.1229789689956,0.635
23,7,OptimalGlobal,3.10864203297846,0.072,OptimalGlobal,10.1229789689956,0.55
24,6,OptimalGlobal,2.96851093910058,0.065,OptimalGlobal,10.1229789689956,0.544
25,5,OptimalGlobal,3.64085770652996,0.064,OptimalGlobal,10.1229789689956,0.49
26,4,OptimalGlobal,3.68928907769315,0.059,OptimalGlobal,10.1229789689956,0.426
27,3,OptimalGlobal,4.56003699379594,0.042,OptimalGlobal,10.1229789689956,0.346
28,2,OptimalGlobal,5.78682879392902,0.042,OptimalGlobal,10.1229789689956,0.27
29,1,OptimalGlobal,5.7334084746118,0.02,OptimalGlobal,10.1229789689956,0.915
