iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,14,450,False,True,955.3585815429688,1635.5087890625,30.90887544934252,40.44142417203553,20.327390670776367,26.622493743896484,0.7412933111190796,0.6680498123168945,0.0
2,13,420,False,False,13.652873992919922,68.2944564819336,3.6949795659678446,8.264046011605549,2.739042043685913,6.457864761352539,0.8121702671051025,-0.013675332069396973,3.5051745621021837
3,12,390,False,False,59.0518798828125,367.7406005859375,7.684522098531079,19.176563836775802,6.3763909339904785,15.162524223327637,0.18759232759475708,-4.4582695960998535,3.508931749034673
4,11,360,False,False,51.47690963745117,282.83367919921875,7.174741085046287,16.817659742045524,5.903609752655029,12.6881685256958,0.2918051481246948,-3.1980204582214355,3.468533128965646
5,10,330,False,False,21.961942672729492,231.59283447265625,4.686357079089204,15.218174478979279,3.800185203552246,11.21432113647461,0.6978580355644226,-2.437467098236084,3.409506841795519
6,9,300,False,False,19.567628860473633,190.2128448486328,4.423531265908904,13.791767285182592,3.5782968997955322,10.591221809387207,0.7307978868484497,-1.8232758045196533,3.4166034618392587
7,8,270,False,False,17.754316329956055,179.66619873046875,4.213587109572561,13.403962053455267,3.400315284729004,10.616087913513184,0.7557445764541626,-1.6667346954345703,3.476900907000527
8,7,240,False,False,14.498082160949707,120.37922668457031,3.80763472000003,10.971746747194373,3.1183667182922363,8.577945709228516,0.8005422949790955,-0.7867549657821655,3.4455556278117
9,6,210,False,False,15.71113395690918,120.01158905029297,3.963727280844279,10.954980102688136,3.199978828430176,8.607926368713379,0.7838537096977234,-0.7812981605529785,3.5970433820039034
10,5,180,False,False,20.579174041748047,55.65827178955078,4.536427453596943,7.460447157479957,3.5290427207946777,5.749880790710449,0.716881513595581,0.1738799810409546,3.8010517400689423
11,4,150,False,False,14.700641632080078,41.80458068847656,3.8341415769478413,6.465646192645911,3.075582504272461,5.3434529304504395,0.7977555394172668,0.3795064091682434,3.37332540913485
12,3,120,False,False,14.548187255859375,51.76262283325195,3.8142086015134744,7.194624579034819,2.845442295074463,5.865245819091797,0.7998529672622681,0.2317020297050476,3.8727022679522634
13,2,90,False,False,18.234577178955078,47.59904479980469,4.270196386462229,6.8992060992410345,3.399203300476074,5.425524711608887,0.7491374015808105,0.2935008406639099,3.4119673760142177
14,1,60,False,False,41.973148345947266,76.82330322265625,6.47866871710132,8.764890371399762,4.456943035125732,7.44277286529541,0.4225533604621887,-0.1402665376663208,3.504903111141175
15,0,30,True,False,50.44276809692383,106.81902313232422,7.102307237575958,10.33532888360715,5.539783477783203,8.05891227722168,0.30603235960006714,-0.5854846239089966,3.8433362618088722
