iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,450,False,True,955.3585815429688,1635.5087890625,30.90887544934252,40.44142417203553,20.327390670776367,26.622493743896484,0.7412933111190796,0.6680498123168945,0.0
2,28,435,False,False,11.818918228149414,90.32710266113281,3.4378653592235713,9.504057168448263,2.6180481910705566,7.211336612701416,0.8354607820510864,-0.23039484024047852,3.528216308914125
3,27,420,False,False,7.550744533538818,88.37506866455078,2.7478618112159165,9.400801490540623,1.9478209018707275,7.125152587890625,0.8948809504508972,-0.2038050889968872,3.5766939090099186
4,26,405,False,False,6.139465808868408,87.96232604980469,2.477794545330264,9.378823276392657,1.770021677017212,7.001187324523926,0.9145283102989197,-0.19818294048309326,4.700713430996984
5,25,390,False,False,5.181446552276611,79.98497009277344,2.2762791024557183,8.943431673176322,1.5033442974090576,6.749082565307617,0.9278655648231506,-0.08951902389526367,3.567725457949564
6,24,375,False,False,4.1718831062316895,75.50144958496094,2.0425188141683517,8.689157012332148,1.3950921297073364,6.577512264251709,0.9419203400611877,-0.028446555137634277,3.441325335064903
7,23,360,False,False,7.314997673034668,70.92047119140625,2.704625237077157,8.421429284355847,2.152730703353882,6.457839488983154,0.8981629610061646,0.03395348787307739,3.5268930459860712
8,22,345,False,False,3.935152530670166,63.51913070678711,1.9837218884385397,7.969889002162271,1.3777278661727905,6.119301795959473,0.9452160596847534,0.1347711682319641,3.582507544895634
9,21,330,False,False,4.27762508392334,56.42979431152344,2.0682420274047573,7.511976724639356,1.433449149131775,5.693023681640625,0.9404482841491699,0.23133891820907593,3.4859409329947084
10,20,315,False,False,3.4247536659240723,52.10585021972656,1.8506089986607306,7.218438211949075,1.2777957916259766,5.512799263000488,0.9523216485977173,0.2902377247810364,3.565059315878898
11,19,300,False,False,3.6093990802764893,53.68118667602539,1.8998418566492552,7.326744616541878,1.3318438529968262,5.621374607086182,0.949751079082489,0.2687792181968689,3.511406217003241
12,18,285,False,False,3.9554026126861572,48.97245788574219,1.9888194017271044,6.998032429600636,1.5717523097991943,5.338644027709961,0.9449341297149658,0.3329193592071533,3.4681868290062994
13,17,270,False,False,4.001173496246338,44.04230499267578,2.000293352547655,6.636437673381389,1.5102919340133667,5.022302627563477,0.9442969560623169,0.40007567405700684,3.4623407470062375
14,16,255,False,False,4.805028915405273,50.534690856933594,2.1920376172422937,7.108775622913807,1.7236469984054565,5.411337852478027,0.9331059455871582,0.31163930892944336,3.4520325209014118
15,15,240,False,False,10.943682670593262,35.58760070800781,3.308123738706468,5.965534402550019,2.5602452754974365,4.599872589111328,0.8476455211639404,0.515241801738739,3.534240640932694
16,14,225,False,False,5.709817886352539,34.602962493896484,2.389522522671117,5.882428282086955,1.888810396194458,4.4440178871154785,0.9205096960067749,0.5286540985107422,3.475239714141935
17,13,210,False,False,4.390207290649414,36.21601486206055,2.0952821506063124,6.017974315503561,1.6883143186569214,4.484630584716797,0.9388809204101562,0.5066818594932556,3.540691026020795
18,12,195,False,False,6.9039177894592285,39.643646240234375,2.627530739964659,6.29632005541605,2.1202125549316406,4.802048206329346,0.9038858413696289,0.4599921703338623,3.5635046497918665
19,11,180,False,False,10.556964874267578,38.085166931152344,3.249148330604126,6.1713180870177435,2.4990530014038086,4.533001899719238,0.8530292510986328,0.481221079826355,3.4889758699573576
20,10,165,False,False,6.501569747924805,35.428550720214844,2.549817591108196,5.952188733584886,2.0501708984375,4.355752468109131,0.9094871878623962,0.5174083113670349,3.53593817492947
21,9,150,False,False,5.381436824798584,34.84799575805664,2.319792409850197,5.903219101308763,1.7798326015472412,4.342146873474121,0.9250813722610474,0.5253163576126099,3.454096358967945
22,8,135,False,False,3.1334798336029053,35.34598922729492,1.7701637872250424,5.9452492990029375,1.3476381301879883,4.43664026260376,0.9563766717910767,0.5185329914093018,3.5528346828650683
23,7,120,False,False,5.647825241088867,32.0217399597168,2.3765153567963466,5.658775482356302,1.7934647798538208,4.197118759155273,0.9213727712631226,0.5638143420219421,3.526461443165317
24,6,105,False,False,10.727690696716309,30.639677047729492,3.275315358361132,5.535311829312735,2.5555946826934814,4.121723175048828,0.8506525158882141,0.5826401710510254,3.4092236808501184
25,5,90,False,False,11.330219268798828,25.82733917236328,3.3660391068433575,5.08206052427195,2.8399691581726074,3.885148286819458,0.8422642946243286,0.6481916904449463,3.4644662861246616
26,4,75,False,False,12.657342910766602,24.8499698638916,3.5577159682535933,4.98497440955233,2.965632915496826,3.948094129562378,0.8237885236740112,0.6615049839019775,3.4020713069476187
27,3,60,False,False,31.71432876586914,46.620025634765625,5.631547635052832,6.827885883255931,4.411587238311768,5.151185512542725,0.5584832429885864,0.364963173866272,3.507978359935805
28,2,45,False,False,24.742321014404297,33.35578155517578,4.974165358570652,5.775446437737587,3.7714743614196777,4.268245697021484,0.6555452346801758,0.545642614364624,3.44311941601336
29,1,30,False,False,26.3139591217041,40.66060256958008,5.129713356680283,6.3765666756946935,4.068213939666748,4.953137397766113,0.6336654424667358,0.44613969326019287,3.4321603949647397
30,0,15,True,False,23.215883255004883,32.551910400390625,4.818286340080348,5.705428152241567,3.9210522174835205,4.726222038269043,0.6767958402633667,0.5565926432609558,3.5180541209410876
