iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,14,OptimalGlobal,2.58675197010076,1.566,OptimalGlobal,2.77307368856356,15.884
2,13,OptimalGlobal,1.76211107083916,2.164,OptimalGlobal,2.77307368856357,16.16
3,12,OptimalGlobal,2.08579329988678,1.734,OptimalGlobal,2.77307368856357,12.69
4,11,OptimalGlobal,1.94508770968732,2.285,OptimalGlobal,2.77307368856357,42.337
5,10,OptimalGlobal,1.39669263385843,1.185,OptimalGlobal,2.77307368856357,11.654
6,9,OptimalGlobal,1.41419807197435,1.4,OptimalGlobal,2.77307368856356,7.921
7,8,OptimalGlobal,1.79289858495979,1.848,OptimalGlobal,2.77307368856357,13.018
8,7,OptimalGlobal,1.80411020846189,0.968,OptimalGlobal,2.77307368856357,32.289
9,6,OptimalGlobal,2.07372134251524,1.412,OptimalGlobal,2.77307368856356,4.579
10,5,OptimalGlobal,2.49793395094728,1.033,OptimalGlobal,2.77307368856357,19.711
11,4,OptimalGlobal,3.29881259901035,0.608,OptimalGlobal,2.77307368856357,7.987
12,3,OptimalGlobal,4.99178627490104,0.532,OptimalGlobal,2.77307368856357,4.97
13,2,OptimalGlobal,11.7619936592631,0.636,OptimalGlobal,2.77307368856357,23.163
14,1,OptimalGlobal,20.0781735114844,0.074,OptimalGlobal,2.77307368856357,31.533
