iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,630,False,True,1604.456298828125,2062.834716796875,40.05566500294465,45.418440272612564,30.391483306884766,31.46492576599121,0.5804738998413086,0.5194476842880249,0.0
2,28,609,False,False,141.6544952392578,238.53018188476562,11.901869401033512,15.444422355166465,9.35815143585205,12.020215034484863,-0.8283212184906006,-2.0985350608825684,3.431053918087855
3,27,588,False,False,27.487627029418945,297.2754211425781,5.242864391667874,17.241676865739542,4.082785129547119,13.42326545715332,0.6452198028564453,-2.861642599105835,3.4312158508691937
4,26,567,False,False,6.4413652420043945,399.37445068359375,2.5379844841929975,19.984355148055034,1.8727374076843262,15.645920753479004,0.916861891746521,-4.187921047210693,4.622275448171422
5,25,546,False,False,1.842379093170166,438.53546142578125,1.3573426587159803,20.941238297335268,0.973256528377533,16.903013229370117,0.9762206077575684,-4.696627140045166,3.4995067729614675
6,24,525,False,False,1.3026565313339233,427.250244140625,1.1413397966135779,20.670032514261436,0.8018995523452759,15.722347259521484,0.9831867218017578,-4.550030708312988,3.507063796976581
7,23,504,False,False,1.2638851404190063,404.49578857421875,1.1242264631376573,20.112080662482903,0.8241336345672607,15.205483436584473,0.983687162399292,-4.254447937011719,3.3461386000271887
8,22,483,False,False,1.2232158184051514,410.8388671875,1.1059908762757273,20.26916049538066,0.839775562286377,15.346409797668457,0.9842120409011841,-4.336845397949219,4.528539088089019
9,21,462,False,False,1.4488331079483032,425.3451843261719,1.2036748348072677,20.62389837848732,0.8835092782974243,14.869585037231445,0.9813000559806824,-4.525284290313721,3.424983719130978
10,20,441,False,False,1.8052946329116821,394.2286682128906,1.3436125307958697,19.85519247483868,1.041053295135498,14.203984260559082,0.9766992330551147,-4.121077060699463,3.4072427640203387
11,19,420,False,False,6.821176528930664,442.6417541503906,2.6117382198318926,21.039053071618756,2.0512192249298096,15.312322616577148,0.911959707736969,-4.749968528747559,3.600261109881103
12,18,399,False,False,4.276220798492432,421.3182067871094,2.0679025118444128,20.52603728894375,1.5991733074188232,15.075943946838379,0.944807231426239,-4.472972869873047,3.4570861018728465
13,17,378,False,False,2.091367483139038,409.0735168457031,1.4461561060753567,20.22556592151881,1.0897176265716553,14.459490776062012,0.9730069041252136,-4.313913345336914,3.4688461900223047
14,16,357,False,False,4.20603084564209,325.1591491699219,2.050861001053482,18.032169840868345,1.614829659461975,13.36159896850586,0.9457131624221802,-3.223855495452881,3.4577643789816648
15,15,336,False,False,8.36880874633789,299.1316223144531,2.892889342221353,17.295422004520535,2.1781837940216064,12.608765602111816,0.8919845819473267,-2.8857550621032715,3.5205973039846867
16,14,315,False,False,9.436577796936035,276.2900390625,3.0719013325522084,16.621974583740045,2.2838919162750244,12.518331527709961,0.8782029747962952,-2.5890400409698486,3.382244799984619
17,13,294,False,False,9.673121452331543,290.0655517578125,3.1101642162965515,17.03131092305617,2.248361587524414,13.077031135559082,0.8751499652862549,-2.7679855823516846,3.4450160588603467
18,12,273,False,False,16.476716995239258,247.42356872558594,4.059152250807951,15.729703389625183,3.0779616832733154,12.228665351867676,0.7873365879058838,-2.2140612602233887,3.6130561190657318
19,11,252,False,False,18.521074295043945,236.10572814941406,4.303611773271835,15.365732268571325,3.2377994060516357,12.239378929138184,0.7609502673149109,-2.0670411586761475,3.4427414040546864
20,10,231,False,False,17.2072811126709,224.33599853515625,4.148165993866554,14.97785026414526,3.085628032684326,12.151712417602539,0.7779072523117065,-1.9141509532928467,3.4384015740361065
21,9,210,False,False,29.84479522705078,208.9466552734375,5.463039010207669,14.4549872111129,4.120054244995117,11.508201599121094,0.6147960424423218,-1.7142417430877686,3.464816558174789
22,8,189,False,False,41.78351593017578,194.58013916015625,6.46401701190334,13.949198513181905,4.948150157928467,11.355979919433594,0.46070408821105957,-1.5276188850402832,3.4845039558131248
23,7,168,False,False,52.4813346862793,209.08033752441406,7.244400229575896,14.45961055922372,5.756157875061035,11.849462509155273,0.322628378868103,-1.7159781455993652,3.4339539029169828
24,6,147,False,False,52.78724670410156,198.36865234375,7.265483239544467,14.084340678347354,5.681231498718262,11.26245403289795,0.3186799883842468,-1.5768320560455322,3.5505161890760064
25,5,126,False,False,76.42833709716797,192.51625061035156,8.742330186922018,13.875022544498858,6.984441757202148,11.31117057800293,0.01354670524597168,-1.5008087158203125,3.372223346028477
26,4,105,False,False,108.41887664794922,191.0469512939453,10.412438554342073,13.82197349490822,8.384583473205566,10.721660614013672,-0.39935219287872314,-1.481722354888916,3.4245028521399945
27,3,84,False,False,101.60406494140625,174.9681854248047,10.079884173015396,13.227554022751322,7.792465686798096,10.156457901000977,-0.31139397621154785,-1.2728571891784668,3.5898027310613543
28,2,63,False,False,151.697265625,202.57839965820312,12.316544386515238,14.233003887381017,10.225622177124023,11.580667495727539,-0.9579422473907471,-1.6315171718597412,3.4201372389215976
29,1,42,False,False,99.02257537841797,122.60928344726562,9.951008761850126,11.072907632923958,8.026078224182129,9.073174476623535,-0.27807509899139404,-0.5927090644836426,3.4456692012026906
30,0,21,True,False,148.01995849609375,172.63046264648438,12.16634532207983,13.138891225917215,9.834447860717773,10.975507736206055,-0.9104796648025513,-1.2424900531768799,3.4493127670139074
