iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,20,OptimalGlobal,6.87638863636667,1.43,OptimalGlobal,7.23942205158156,2.377
2,19,OptimalGlobal,4.54242381950995,1.089,OptimalGlobal,7.23942205158156,2.12
3,18,OptimalGlobal,4.04412146152435,1.02,OptimalGlobal,7.23942205158156,2.156
4,17,OptimalGlobal,3.97268285834404,1.05,OptimalGlobal,7.23942205158156,2.03
5,16,OptimalGlobal,4.07336734514665,1.374,OptimalGlobal,7.23942205158156,2.105
6,15,OptimalGlobal,4.44163126987047,1.196,OptimalGlobal,7.23942205158156,1.864
7,14,OptimalGlobal,4.27522242473212,1.68,OptimalGlobal,7.23942205158156,1.758
8,13,OptimalGlobal,7.53825645237025,1.653,OptimalGlobal,7.23942205158156,1.612
9,12,OptimalGlobal,5.99419228533033,1.12,OptimalGlobal,7.23942205158156,1.51
10,11,OptimalGlobal,5.18530737648339,1.007,OptimalGlobal,7.23942205158156,1.313
11,10,OptimalGlobal,4.63789333796878,0.85,OptimalGlobal,7.23942205158156,1.181
12,9,OptimalGlobal,5.96703698189736,1.193,OptimalGlobal,7.23942205158156,1.072
13,8,OptimalGlobal,5.65230764739685,0.808,OptimalGlobal,7.23942205158156,0.926
14,7,OptimalGlobal,4.58294120900933,0.871,OptimalGlobal,7.23942205158156,0.866
15,6,OptimalGlobal,6.00647540915858,0.837,OptimalGlobal,7.23942205158156,0.768
16,5,OptimalGlobal,5.9104871738677,0.693,OptimalGlobal,7.23942205158156,0.681
17,4,OptimalGlobal,6.68897018820562,0.551,OptimalGlobal,7.23942205158156,0.584
18,3,OptimalGlobal,13.3457334313004,0.481,OptimalGlobal,7.23942205158156,0.503
19,2,OptimalGlobal,16.199500852899,0.155,OptimalGlobal,7.23942205158156,0.393
20,1,OptimalGlobal,32.0623802162317,0.031,OptimalGlobal,7.23942205158156,0.293
