iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,6.17401555828863,3.536,OptimalGlobal,6.50150375129634,2.674
2,28,OptimalGlobal,3.99975043494888,2.832,OptimalGlobal,6.50150375129634,2.53
3,27,OptimalGlobal,3.50088145926996,2.81,OptimalGlobal,6.50150375129634,2.514
4,26,OptimalGlobal,3.25927957718395,2.582,OptimalGlobal,6.50150375129634,2.336
5,25,OptimalGlobal,3.25915808037023,2.927,OptimalGlobal,6.50150375129634,2.287
6,24,OptimalGlobal,3.12593051025192,2.87,OptimalGlobal,6.50150375129634,1.998
7,23,OptimalGlobal,2.99640019262598,2.235,OptimalGlobal,6.50150375129634,1.897
8,22,OptimalGlobal,3.19067575391875,1.983,OptimalGlobal,6.50150375129634,1.804
9,21,OptimalGlobal,3.44946475442734,4.948,OptimalGlobal,6.50150375129634,1.861
10,20,OptimalGlobal,3.63960640288694,2.15,OptimalGlobal,6.50150375129634,1.606
11,19,OptimalGlobal,4.5683771397799,2.034,OptimalGlobal,6.50150375129634,1.548
12,18,OptimalGlobal,4.4516689149438,2.218,OptimalGlobal,6.50150375129634,1.437
13,17,OptimalGlobal,4.62730674438025,2.106,OptimalGlobal,6.50150375129634,1.401
14,16,OptimalGlobal,4.42833734006691,2.073,OptimalGlobal,6.50150375129634,1.305
15,15,OptimalGlobal,4.51736081391364,2.021,OptimalGlobal,6.50150375129634,1.229
16,14,OptimalGlobal,5.00480119644892,2.241,OptimalGlobal,6.50150375129634,1.15
17,13,OptimalGlobal,5.15704766719422,1.722,OptimalGlobal,6.50150375129634,1.146
18,12,OptimalGlobal,5.88557293043265,1.795,OptimalGlobal,6.50150375129634,1.062
19,11,OptimalGlobal,6.26688812115047,1.892,OptimalGlobal,6.50150375129634,1.033
20,10,OptimalGlobal,6.43667953675717,1.821,OptimalGlobal,6.50150375129634,0.917
21,9,OptimalGlobal,6.96699799230991,1.783,OptimalGlobal,6.50150375129634,0.85
22,8,OptimalGlobal,7.82257641229567,1.706,OptimalGlobal,6.50150375129634,0.796
23,7,OptimalGlobal,8.73408595575255,1.824,OptimalGlobal,6.50150375129634,0.706
24,6,OptimalGlobal,9.07724087670318,2.303,OptimalGlobal,6.50150375129634,0.693
25,5,OptimalGlobal,9.68911428611518,1.406,OptimalGlobal,6.50150375129634,0.604
26,4,OptimalGlobal,11.1925285080102,1.828,OptimalGlobal,6.50150375129634,0.477
27,3,OptimalGlobal,13.6877373758653,1.303,OptimalGlobal,6.50150375129634,0.395
28,2,OptimalGlobal,14.8850479950861,0.52,OptimalGlobal,6.50150375129634,0.296
29,1,OptimalGlobal,17.5796768005513,0.056,OptimalGlobal,6.50150375129634,0.23
