iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,15,OptimalGlobal,5.60005274782687,0.228,OptimalGlobal,5.89292550032955,3.289
2,14,OptimalGlobal,6.00325146329871,0.176,OptimalGlobal,5.89292550032955,3.929
3,13,OptimalGlobal,5.96720726507956,0.155,OptimalGlobal,5.89292550032955,2.98
4,12,OptimalGlobal,6.3122699207129,0.171,OptimalGlobal,5.89292550032955,2.487
5,11,OptimalGlobal,8.61394921081969,0.218,OptimalGlobal,5.89292550032955,2.85
6,10,OptimalGlobal,8.31353264885156,0.176,OptimalGlobal,5.89292550032955,2.885
7,9,OptimalGlobal,7.32650396325836,0.177,OptimalGlobal,5.89292550032955,2.446
8,8,OptimalGlobal,4.25972023451213,0.161,OptimalGlobal,5.89292550032955,2.259
9,7,OptimalGlobal,4.67825047199533,0.163,OptimalGlobal,5.89292550032955,2.526
10,6,OptimalGlobal,9.32096615417709,0.154,OptimalGlobal,5.89292550032955,2.178
11,5,OptimalGlobal,5.81281453469954,0.147,OptimalGlobal,5.89292550032955,1.82
12,4,OptimalGlobal,8.72371981053555,0.158,OptimalGlobal,5.89292550032955,1.892
13,3,OptimalGlobal,12.0005131147959,0.089,OptimalGlobal,5.89292550032955,1.015
14,2,OptimalGlobal,9.12176267590044,0.051,OptimalGlobal,5.89292550032955,0.858
15,1,OptimalGlobal,8.28106070598947,0.03,OptimalGlobal,5.89292550032955,1.415
