iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,29,480,False,True,1652.5028076171875,1948.1983642578125,40.650987781567956,44.13840010985687,27.449037551879883,28.130693435668945,0.8121793270111084,0.763403058052063,0.0
2,28,464,False,False,18.704133987426758,52.93043899536133,4.3248276251692115,7.2753308512645205,3.360968589782715,5.457609176635742,0.7326437830924988,0.2943464517593384,3.4992318290751427
3,27,448,False,False,14.190230369567871,48.531494140625,3.766992217879919,6.966454919155438,3.0155136585235596,5.246486186981201,0.7971653938293457,0.3529919385910034,3.5276330311316997
4,26,432,False,False,10.48320198059082,48.80022430419922,3.237777321032257,6.9857157331371,2.5973596572875977,5.2526068687438965,0.8501535058021545,0.349409282207489,3.672789883101359
5,25,416,False,False,8.380626678466797,47.92634582519531,2.8949312044445543,6.922885657382715,2.281134843826294,5.198861122131348,0.8802076578140259,0.3610595464706421,3.55390242789872
6,24,400,False,False,6.661612510681152,47.20085144042969,2.581009978803095,6.8702875806206025,1.9224803447723389,5.253143310546875,0.9047791361808777,0.3707317113876343,3.3919165688566864
7,23,384,False,False,15.498082160949707,54.40874481201172,3.9367603636682924,7.376228359535225,3.2460761070251465,5.8271708488464355,0.7784709930419922,0.2746381163597107,3.5829870249144733
8,22,368,False,False,8.548172950744629,44.040283203125,2.9237258679200124,6.636285346722593,2.337989568710327,5.038057327270508,0.8778127431869507,0.4128674864768982,3.570357699180022
9,21,352,False,False,8.017953872680664,44.177574157714844,2.831599172319533,6.646621258783657,2.2511894702911377,5.045279026031494,0.8853916525840759,0.4110371470451355,3.428927739150822
10,20,336,False,False,8.086373329162598,38.965824127197266,2.8436549244172715,6.242261138978188,2.2236850261688232,4.847031116485596,0.8844136595726013,0.4805186986923218,3.4885078561492264
11,19,320,False,False,6.892988681793213,38.935306549072266,2.6254501865000623,6.239816227187485,1.9962681531906128,4.8676676750183105,0.9014718532562256,0.4809255599975586,3.5673811540473253
12,18,304,False,False,8.006095886230469,37.8606071472168,2.8295045301660977,6.1530973620784515,2.260169267654419,4.890987396240234,0.8855611681938171,0.49525314569473267,3.636543096974492
13,17,288,False,False,8.702977180480957,41.70772933959961,2.950080876938962,6.4581521613848345,2.3840606212615967,5.0368332862854,0.8755999803543091,0.443964421749115,3.5259414319880307
14,16,272,False,False,7.397942543029785,40.328861236572266,2.7199159073452592,6.35050086501626,2.0782227516174316,5.0442609786987305,0.8942540884017944,0.4623470902442932,3.511415097862482
15,15,256,False,False,6.3597564697265625,40.46769714355469,2.5218557591041093,6.361422572314678,1.8735274076461792,5.057754039764404,0.9090938568115234,0.460496187210083,3.4569026820827276
16,14,240,False,False,7.0429534912109375,39.481815338134766,2.653856343363547,6.283455684425153,2.1084067821502686,4.9414567947387695,0.8993282914161682,0.47363966703414917,3.558921619085595
17,13,224,False,False,9.570760726928711,37.840057373046875,3.093664611254541,6.151427263086744,2.5192415714263916,5.094283580780029,0.8631958961486816,0.49552708864212036,3.650945725850761
18,12,208,False,False,6.577817440032959,39.73304748535156,2.5647256071620914,6.30341554122458,1.9329674243927002,5.172123908996582,0.9059768915176392,0.47029030323028564,3.525696446886286
19,11,192,False,False,9.70215129852295,38.4869384765625,3.1148276514958173,6.203784206156957,2.4181761741638184,5.095596790313721,0.8613178133964539,0.4869030714035034,3.5210402158554643
20,10,176,False,False,11.010567665100098,35.734249114990234,3.3182175433657295,5.977813071265296,2.618638038635254,4.931640148162842,0.8426153659820557,0.5236011743545532,3.493852788116783
21,9,160,False,False,9.181504249572754,36.011940002441406,3.0300997095100275,6.000994917715012,2.2168633937835693,5.013395309448242,0.8687599301338196,0.5198990702629089,3.532634326023981
22,8,144,False,False,11.8439302444458,31.4066104888916,3.4415011614767472,5.60416010557261,2.7155065536499023,4.633304595947266,0.8307032585144043,0.5812959671020508,3.4823852779809386
23,7,128,False,False,15.190533638000488,34.99995422363281,3.897503513532796,5.916075914289202,3.193338394165039,4.901250839233398,0.7828670740127563,0.5333905220031738,3.5245125759392977
24,6,112,False,False,23.07097816467285,35.87700271606445,4.8032258082118995,5.989741456529193,3.944042921066284,4.884553909301758,0.6702243089675903,0.521697998046875,3.5497875411529094
25,5,96,False,False,17.581161499023438,35.931053161621094,4.1929895658138046,5.994251676533201,3.304046630859375,5.020369052886963,0.7486954927444458,0.5209774374961853,3.6141011510044336
26,4,80,False,False,20.209335327148438,35.962242126464844,4.495479432401892,5.996852685072799,3.6291685104370117,5.029362201690674,0.7111284732818604,0.5205615758895874,3.592338223941624
27,3,64,False,False,24.031808853149414,38.159969329833984,4.902224888063523,6.1773756021334805,3.9675092697143555,5.286800384521484,0.6564902067184448,0.49126213788986206,3.518729014089331
28,2,48,False,False,30.620803833007812,48.91291809082031,5.533606765303062,6.9937770975932825,4.608999252319336,5.8675432205200195,0.5623073577880859,0.3479068875312805,3.565253878943622
29,1,32,False,False,40.80496597290039,55.4342155456543,6.3878764838481645,7.44541574028303,5.239732265472412,6.375163555145264,0.41673535108566284,0.26096683740615845,3.42728708893992
30,0,16,True,False,72.54308319091797,79.18367004394531,8.51722273930405,8.898520666040245,7.121606349945068,7.800457954406738,-0.03692817687988281,-0.055654168128967285,3.3496385500766337
