iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,10.7744547934963,1.091,OptimalGlobal,11.5854232797298,2.344
2,28,OptimalGlobal,5.53077173455774,1.266,OptimalGlobal,11.5854232797298,2.309
3,27,OptimalGlobal,5.09685831519944,1.133,OptimalGlobal,11.5854232797298,2.122
4,26,OptimalGlobal,4.84377417553181,1.135,OptimalGlobal,11.5854232797298,2.047
5,25,OptimalGlobal,4.76195610558913,1.167,OptimalGlobal,11.5854232797298,2.054
6,24,OptimalGlobal,4.5063971666051,1.062,OptimalGlobal,11.5854232797298,1.918
7,23,OptimalGlobal,4.90353892131419,1.45,OptimalGlobal,11.5854232797298,1.835
8,22,OptimalGlobal,5.26348326647463,1.679,OptimalGlobal,11.5854232797298,1.841
9,21,OptimalGlobal,3.98974102780393,1.254,OptimalGlobal,11.5854232797298,1.761
10,20,OptimalGlobal,5.01442200074614,2.647,OptimalGlobal,11.5854232797298,1.67
11,19,OptimalGlobal,5.87962312861202,1.083,OptimalGlobal,11.5854232797298,1.567
12,18,OptimalGlobal,6.14177179228761,1.207,OptimalGlobal,11.5854232797298,1.461
13,17,OptimalGlobal,6.5178456478525,1.438,OptimalGlobal,11.5854232797298,1.398
14,16,OptimalGlobal,6.12729472594969,1.334,OptimalGlobal,11.5854232797298,1.381
15,15,OptimalGlobal,7.73021193194217,1.411,OptimalGlobal,11.5854232797298,1.292
16,14,OptimalGlobal,8.49358953013548,1.064,OptimalGlobal,11.5854232797298,1.173
17,13,OptimalGlobal,8.48211589921731,0.972,OptimalGlobal,11.5854232797298,1.145
18,12,OptimalGlobal,7.65515168517245,0.927,OptimalGlobal,11.5854232797298,0.963
19,11,OptimalGlobal,8.65518222954417,1.591,OptimalGlobal,11.5854232797298,0.921
20,10,OptimalGlobal,7.49092606082534,1.196,OptimalGlobal,11.5854232797298,0.841
21,9,OptimalGlobal,8.77215671741136,0.861,OptimalGlobal,11.5854232797298,0.757
22,8,OptimalGlobal,7.58124029601952,0.898,OptimalGlobal,11.5854232797298,0.715
23,7,OptimalGlobal,7.19770699162837,0.85,OptimalGlobal,11.5854232797298,0.495
24,6,OptimalGlobal,10.0864968120436,1.075,OptimalGlobal,11.5854232797298,0.463
25,5,OptimalGlobal,9.25614270809096,0.63,OptimalGlobal,11.5854232797298,0.44
26,4,OptimalGlobal,9.26074111202461,0.474,OptimalGlobal,11.5854232797298,0.34
27,3,OptimalGlobal,9.25338550066007,0.374,OptimalGlobal,11.5854232797298,0.27
28,2,OptimalGlobal,20.9280635286994,0.176,OptimalGlobal,11.5854232797298,0.204
29,1,OptimalGlobal,19.9472391008894,0.03,OptimalGlobal,11.5854232797298,0.16
