dataset,window_tag,hidden,mode,bin,draw_source,group,n_runs,mean_survival_steps,mean_survival_fraction,mean_deepest_n0_present,hidden_tag
FD001,W30_step1,10,sensors,low,train,1,5,4.4,0.3142857142857143,10.6,h10
FD001,W30_step1,10,sensors,low,train,10,5,8.2,0.5857142857142857,6.8,h10
FD001,W30_step1,10,sensors,low,train,11,5,12.8,0.9142857142857144,2.2,h10
FD001,W30_step1,10,sensors,low,train,12,5,7.2,0.5142857142857143,7.8,h10
FD001,W30_step1,10,sensors,low,train,13,5,1.2,0.0857142857142857,13.8,h10
FD001,W30_step1,10,sensors,low,train,14,5,3.2,0.2285714285714285,11.8,h10
FD001,W30_step1,10,sensors,low,train,15,5,6.4,0.4571428571428572,8.6,h10
FD001,W30_step1,10,sensors,low,train,3,5,10.8,0.7714285714285715,4.2,h10
FD001,W30_step1,10,sensors,low,train,4,5,4.6,0.3285714285714285,10.4,h10
FD001,W30_step1,10,sensors,low,train,5,5,5.2,0.3714285714285714,9.8,h10
FD001,W30_step1,10,sensors,low,train,6,5,12.4,0.8857142857142858,2.6,h10
FD001,W30_step1,10,sensors,low,train,7,5,7.8,0.5571428571428572,7.2,h10
FD001,W30_step1,10,sensors,low,train,8,5,11.4,0.8142857142857143,3.6,h10
FD001,W30_step1,10,sensors,low,train,9,5,9.4,0.6714285714285715,5.6,h10
FD001,W30_step1,10,windows,low,train,1,5,24.4,0.8413793103448276,5.6,h10
FD001,W30_step1,10,windows,low,train,10,5,3.2,0.1103448275862069,26.8,h10
FD001,W30_step1,10,windows,low,train,11,5,6.8,0.2344827586206896,23.2,h10
FD001,W30_step1,10,windows,low,train,12,4,5.0,0.1724137931034483,25.0,h10
FD001,W30_step1,10,windows,low,train,13,4,9.25,0.3189655172413793,20.75,h10
FD001,W30_step1,10,windows,low,train,14,5,9.4,0.3241379310344827,20.6,h10
FD001,W30_step1,10,windows,low,train,15,3,7.333333333333333,0.2528735632183908,22.666666666666668,h10
FD001,W30_step1,10,windows,low,train,16,5,11.8,0.4068965517241379,18.2,h10
FD001,W30_step1,10,windows,low,train,17,5,10.2,0.3517241379310344,19.8,h10
FD001,W30_step1,10,windows,low,train,18,5,18.6,0.6413793103448275,11.4,h10
FD001,W30_step1,10,windows,low,train,19,5,11.6,0.4,18.4,h10
FD001,W30_step1,10,windows,low,train,2,5,14.2,0.4896551724137931,15.8,h10
FD001,W30_step1,10,windows,low,train,20,5,21.2,0.7310344827586206,8.8,h10
FD001,W30_step1,10,windows,low,train,21,5,17.6,0.606896551724138,12.4,h10
FD001,W30_step1,10,windows,low,train,22,4,19.0,0.6551724137931034,11.0,h10
FD001,W30_step1,10,windows,low,train,23,5,19.6,0.6758620689655173,10.4,h10
FD001,W30_step1,10,windows,low,train,24,5,20.6,0.7103448275862069,9.4,h10
FD001,W30_step1,10,windows,low,train,25,5,25.2,0.8689655172413794,4.8,h10
FD001,W30_step1,10,windows,low,train,26,5,21.0,0.7241379310344828,9.0,h10
FD001,W30_step1,10,windows,low,train,27,5,24.8,0.8551724137931034,5.2,h10
