dataset,hidden_tag,hidden,mode,bin,draw_source,max_n0,final_jaccard_n0_1,moderate_jaccard_ge_50pct,high_retention_jaccard_ge_75pct,auc_jaccard_all_n0
FD001,h10,10,sensors,low,train,14.0,0.1,0.7717062104562105,0.906547619047619,0.6391552495123923
FD001,h10,10,windows,low,train,29.0,0.4,0.7491271910327243,0.8032414845690707,0.5931013450405797
FD001,h10_10,10 10,sensors,low,train,14.0,0.1,0.5767757936507936,0.7176007326007325,0.40051329622758197
FD001,h10_10,10 10,windows,low,train,29.0,0.6,0.6136141501676734,0.7543166392993979,0.4369001098492205
FD001,h10_10_10,10 10 10,sensors,low,train,14.0,0.1,0.7553916222666223,0.8269322344322343,0.5960401106829678
FD001,h10_10_10,10 10 10,windows,low,train,29.0,0.6,0.767674594668653,0.8697340569641918,0.6506455753032792
FD002,h10,10,sensors,low,train,20.0,1.0,1.0,1.0,1.0
FD002,h10,10,windows,low,train,29.0,1.0,1.0,1.0,1.0
FD002,h10_10,10 10,sensors,low,train,20.0,1.0,1.0,1.0,1.0
FD002,h10_10,10 10,windows,low,train,29.0,1.0,1.0,1.0,0.9853023604747743
FD002,h10_10_10,10 10 10,sensors,low,train,20.0,1.0,0.9726001271455817,1.0,0.9647634032634033
FD002,h10_10_10,10 10 10,windows,low,train,29.0,1.0,1.0,1.0,0.9818288225184777
FD003,h10,10,sensors,low,train,15.0,0.0,0.7323950008325009,0.8520260989010989,0.5186380841380841
FD003,h10,10,windows,low,train,29.0,0.6,0.7053544211497392,0.8122119279188245,0.5541679519757684
FD003,h10_10,10 10,sensors,low,train,15.0,0.1,0.7084118659118659,0.839212454212454,0.49087257187257194
FD003,h10_10,10 10,windows,low,train,29.0,0.1,0.6573540215520647,0.7796244193226951,0.46208988524479266
FD003,h10_10_10,10 10 10,sensors,low,train,15.0,0.3,0.7504204129204128,0.8716025641025642,0.5969173419173418
FD003,h10_10_10,10 10 10,windows,low,train,29.0,0.4,0.7375667436374294,0.8228802997768515,0.5232195220668021
FD004,h10,10,sensors,low,train,20.0,1.0,1.0,1.0,1.0
FD004,h10,10,windows,low,train,29.0,1.0,1.0,1.0,1.0
FD004,h10_10,10 10,sensors,low,train,20.0,1.0,1.0,1.0,1.0
FD004,h10_10,10 10,windows,low,train,29.0,1.0,1.0,1.0,1.0
FD004,h10_10_10,10 10 10,sensors,low,train,20.0,0.3,0.7561748992321746,0.8449503661113568,0.5975689940004955
FD004,h10_10_10,10 10 10,windows,low,train,29.0,0.2,0.6111533022329623,0.7628280212762972,0.40110385277911154
