dataset,window_tag,hidden,mode,bin,draw_source,group,n_runs,mean_survival_steps,mean_survival_fraction,mean_deepest_n0_present,hidden_tag
FD001,W30_step1,10,sensors,low,train,11,5,12.8,0.9142857142857144,2.2,h10
FD001,W30_step1,10,sensors,low,train,6,5,12.4,0.8857142857142858,2.6,h10
FD001,W30_step1,10,sensors,low,train,8,5,11.4,0.8142857142857143,3.6,h10
FD001,W30_step1,10,sensors,low,train,3,5,10.8,0.7714285714285715,4.2,h10
FD001,W30_step1,10,sensors,low,train,9,5,9.4,0.6714285714285715,5.6,h10
FD001,W30_step1,10,sensors,low,train,10,5,8.2,0.5857142857142857,6.8,h10
FD001,W30_step1,10,sensors,low,train,7,5,7.8,0.5571428571428572,7.2,h10
FD001,W30_step1,10,sensors,low,train,12,5,7.2,0.5142857142857143,7.8,h10
FD001,W30_step1,10,sensors,low,train,15,5,6.4,0.4571428571428572,8.6,h10
FD001,W30_step1,10,sensors,low,train,5,5,5.2,0.3714285714285714,9.8,h10
FD001,W30_step1,10,windows,low,train,30,5,26.6,0.9172413793103448,3.4,h10
FD001,W30_step1,10,windows,low,train,25,5,25.2,0.8689655172413794,4.8,h10
FD001,W30_step1,10,windows,low,train,27,5,24.8,0.8551724137931034,5.2,h10
FD001,W30_step1,10,windows,low,train,1,5,24.4,0.8413793103448276,5.6,h10
FD001,W30_step1,10,windows,low,train,29,5,24.4,0.8413793103448276,5.6,h10
FD001,W30_step1,10,windows,low,train,28,5,22.4,0.7724137931034483,7.6,h10
FD001,W30_step1,10,windows,low,train,20,5,21.2,0.7310344827586206,8.8,h10
FD001,W30_step1,10,windows,low,train,26,5,21.0,0.7241379310344828,9.0,h10
FD001,W30_step1,10,windows,low,train,24,5,20.6,0.7103448275862069,9.4,h10
FD001,W30_step1,10,windows,low,train,23,5,19.6,0.6758620689655173,10.4,h10
FD001,W30_step1,10 10,sensors,low,train,9,4,12.25,0.875,2.75,h10_10
FD001,W30_step1,10 10,sensors,low,train,1,5,11.0,0.7857142857142858,4.0,h10_10
FD001,W30_step1,10 10,sensors,low,train,15,5,9.4,0.6714285714285714,5.6,h10_10
FD001,W30_step1,10 10,sensors,low,train,13,4,9.0,0.6428571428571428,6.0,h10_10
FD001,W30_step1,10 10,sensors,low,train,11,4,8.75,0.625,6.25,h10_10
FD001,W30_step1,10 10,sensors,low,train,8,5,8.4,0.6,6.6,h10_10
FD001,W30_step1,10 10,sensors,low,train,5,5,8.2,0.5857142857142857,6.8,h10_10
FD001,W30_step1,10 10,sensors,low,train,12,5,7.6,0.5428571428571429,7.4,h10_10
FD001,W30_step1,10 10,sensors,low,train,10,5,7.0,0.5,8.0,h10_10
FD001,W30_step1,10 10,sensors,low,train,4,4,6.5,0.4642857142857143,8.5,h10_10
FD001,W30_step1,10 10,windows,low,train,30,5,25.8,0.8896551724137931,4.2,h10_10
FD001,W30_step1,10 10,windows,low,train,23,5,23.4,0.8068965517241379,6.6,h10_10
FD001,W30_step1,10 10,windows,low,train,5,4,22.5,0.7758620689655172,7.5,h10_10
FD001,W30_step1,10 10,windows,low,train,27,5,20.8,0.7172413793103448,9.2,h10_10
FD001,W30_step1,10 10,windows,low,train,4,5,20.8,0.7172413793103447,9.2,h10_10
FD001,W30_step1,10 10,windows,low,train,3,5,20.4,0.7034482758620689,9.6,h10_10
FD001,W30_step1,10 10,windows,low,train,19,5,18.6,0.6413793103448275,11.4,h10_10
FD001,W30_step1,10 10,windows,low,train,6,4,17.5,0.603448275862069,12.5,h10_10
FD001,W30_step1,10 10,windows,low,train,26,3,17.333333333333332,0.5977011494252874,12.666666666666666,h10_10
FD001,W30_step1,10 10,windows,low,train,25,5,17.2,0.5931034482758621,12.8,h10_10
FD001,W30_step1,10 10 10,sensors,low,train,5,5,12.8,0.9142857142857144,2.2,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,1,5,11.4,0.8142857142857143,3.6,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,12,5,11.2,0.8,3.8,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,8,5,10.0,0.7142857142857142,5.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,6,5,9.6,0.6857142857142857,5.4,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,7,5,8.4,0.6,6.6,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,9,5,8.0,0.5714285714285714,7.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,10,5,7.4,0.5285714285714286,7.6,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,3,5,7.2,0.5142857142857143,7.8,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,2,5,6.8,0.4857142857142857,8.2,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,30,5,27.6,0.9517241379310344,2.4,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,1,5,27.0,0.9310344827586208,3.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,26,5,25.8,0.8896551724137932,4.2,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,28,5,24.4,0.8413793103448276,5.6,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,27,5,24.2,0.8344827586206897,5.8,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,24,5,23.0,0.793103448275862,7.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,29,5,22.4,0.7724137931034483,7.6,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,22,5,19.6,0.6758620689655173,10.4,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,2,5,19.6,0.6758620689655171,10.4,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,25,5,17.4,0.6,12.6,h10_10_10
FD002,W30_step1,10,sensors,low,train,2,5,20.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,1,5,19.0,0.95,2.0,h10
FD002,W30_step1,10,sensors,low,train,3,5,18.0,0.9,3.0,h10
FD002,W30_step1,10,sensors,low,train,4,5,17.0,0.85,4.0,h10
FD002,W30_step1,10,sensors,low,train,5,5,16.0,0.8,5.0,h10
FD002,W30_step1,10,sensors,low,train,6,5,15.0,0.75,6.0,h10
FD002,W30_step1,10,sensors,low,train,7,5,14.0,0.7,7.0,h10
FD002,W30_step1,10,sensors,low,train,8,5,13.0,0.65,8.0,h10
FD002,W30_step1,10,sensors,low,train,9,5,12.0,0.6,9.0,h10
FD002,W30_step1,10,sensors,low,train,10,5,11.0,0.55,10.0,h10
