dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,out_dir,group,survival_steps,survival_fraction,first_n0_present,deepest_n0_present,max_n0_in_run,n_steps_in_run
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,1,5,0.35714285714285715,14,10,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,3,11,0.7857142857142857,14,4,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,4,7,0.5,14,8,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,5,4,0.2857142857142857,14,11,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,6,13,0.9285714285714286,14,2,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,7,8,0.5714285714285714,14,7,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,8,12,0.8571428571428571,14,3,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,9,10,0.7142857142857143,14,5,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,10,9,0.6428571428571429,14,6,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,11,14,1.0,14,1,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,12,6,0.42857142857142855,14,9,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,13,1,0.07142857142857142,14,14,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,14,2,0.14285714285714285,14,13,14,14
FD001,W30_step1,10,sensors,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,15,3,0.21428571428571427,14,12,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,1,5,0.35714285714285715,14,10,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,3,11,0.7857142857142857,14,4,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,4,2,0.14285714285714285,14,13,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,5,4,0.2857142857142857,14,11,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,6,13,0.9285714285714286,14,2,14,14
FD001,W30_step1,10,sensors,low,train,1,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,7,10,0.7142857142857143,14,5,14,14
