dataset,window_tag,hidden,mode,bin,draw_source,n0_value,n_runs,mean_selected_count,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard
FD001,W30_step1,10,sensors,low,train,1,5,1.0,0.1,0.0,1.0
FD001,W30_step1,10,sensors,low,train,2,5,2.0,0.4333333333333333,0.0,1.0
FD001,W30_step1,10,sensors,low,train,3,5,3.0,0.47000000000000003,0.2,1.0
FD001,W30_step1,10,sensors,low,train,4,5,4.0,0.5866666666666667,0.3333333333333333,1.0
FD001,W30_step1,10,sensors,low,train,5,5,5.0,0.5869047619047619,0.25,1.0
FD001,W30_step1,10,sensors,low,train,6,5,6.0,0.5976190476190476,0.3333333333333333,1.0
FD001,W30_step1,10,sensors,low,train,7,5,7.0,0.6077777777777779,0.4,1.0
FD001,W30_step1,10,sensors,low,train,8,5,8.0,0.5797979797979796,0.3333333333333333,0.7777777777777778
FD001,W30_step1,10,sensors,low,train,9,5,9.0,0.6302797202797203,0.38461538461538464,0.8
FD001,W30_step1,10,sensors,low,train,10,5,10.0,0.7296037296037297,0.5384615384615384,0.8181818181818182
FD001,W30_step1,10,sensors,low,train,11,5,11.0,0.8217948717948719,0.6923076923076923,1.0
FD001,W30_step1,10,sensors,low,train,12,5,12.0,0.8615384615384615,0.8461538461538461,1.0
FD001,W30_step1,10,sensors,low,train,13,5,13.0,0.9428571428571428,0.8571428571428571,1.0
FD001,W30_step1,10,sensors,low,train,14,5,14.0,1.0,1.0,1.0
FD001,W30_step1,10,windows,low,train,1,5,1.0,0.4,0.0,1.0
FD001,W30_step1,10,windows,low,train,2,5,2.0,0.26666666666666666,0.0,1.0
FD001,W30_step1,10,windows,low,train,3,5,3.0,0.3,0.0,0.5
FD001,W30_step1,10,windows,low,train,4,5,4.0,0.2647619047619048,0.14285714285714285,0.6
FD001,W30_step1,10,windows,low,train,5,5,5.0,0.2619047619047619,0.1111111111111111,0.42857142857142855
FD001,W30_step1,10,windows,low,train,6,5,6.0,0.38142857142857145,0.2,0.7142857142857143
FD001,W30_step1,10,windows,low,train,7,5,7.0,0.38904040404040396,0.16666666666666666,0.75
FD001,W30_step1,10,windows,low,train,8,5,8.0,0.3655944055944056,0.23076923076923078,0.6
FD001,W30_step1,10,windows,low,train,9,5,9.0,0.44605394605394605,0.2857142857142857,0.6363636363636364
FD001,W30_step1,10,windows,low,train,10,5,10.0,0.46483516483516485,0.3333333333333333,0.6666666666666666
FD001,W30_step1,10,windows,low,train,11,5,11.0,0.5416117216117216,0.4666666666666667,0.6923076923076923
FD001,W30_step1,10,windows,low,train,12,5,12.0,0.5914285714285714,0.5,0.7142857142857143
FD001,W30_step1,10,windows,low,train,13,5,13.0,0.6371078431372549,0.5294117647058824,0.7333333333333333
FD001,W30_step1,10,windows,low,train,14,5,14.0,0.6525971792225662,0.47368421052631576,0.75
FD001,W30_step1,10,windows,low,train,15,5,15.0,0.7123065015479876,0.5,0.875
FD001,W30_step1,10,windows,low,train,16,5,16.0,0.7057309941520468,0.6,0.7777777777777778
FD001,W30_step1,10,windows,low,train,17,5,17.0,0.6699430394167237,0.5454545454545454,0.7894736842105263
FD001,W30_step1,10,windows,low,train,18,5,18.0,0.6761038961038961,0.6363636363636364,0.8
FD001,W30_step1,10,windows,low,train,19,5,19.0,0.6465415019762847,0.5833333333333334,0.7272727272727273
FD001,W30_step1,10,windows,low,train,20,5,20.0,0.6689855072463767,0.6,0.7391304347826086
FD001,W30_step1,10,windows,low,train,21,5,21.0,0.7313645484949833,0.6153846153846154,0.8260869565217391
FD001,W30_step1,10,windows,low,train,22,5,22.0,0.734051282051282,0.6923076923076923,0.8333333333333334
FD001,W30_step1,10,windows,low,train,23,5,23.0,0.7374595034595035,0.6428571428571429,0.84
FD001,W30_step1,10,windows,low,train,24,5,24.0,0.7543426382047071,0.6551724137931034,0.92
FD001,W30_step1,10,windows,low,train,25,5,25.0,0.7619503740193396,0.6666666666666666,0.8518518518518519
FD001,W30_step1,10,windows,low,train,26,5,26.0,0.7875533661740558,0.7333333333333333,0.8571428571428571
FD001,W30_step1,10,windows,low,train,27,5,27.0,0.8310344827586207,0.8,0.8620689655172413
FD001,W30_step1,10,windows,low,train,28,5,28.0,0.8795402298850575,0.8666666666666667,0.9310344827586207
FD001,W30_step1,10,windows,low,train,29,5,29.0,0.9400000000000001,0.9333333333333333,1.0
FD001,W30_step1,10 10,sensors,low,train,1,5,1.0,0.1,0.0,1.0
FD001,W30_step1,10 10,sensors,low,train,2,5,2.0,0.06666666666666667,0.0,0.3333333333333333
