dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,retention_auc,retention_auc_20_80,retention_auc_20_80_raw,retention_at_20,retention_at_80,mae_auc,mae_auc_20_80,mae_auc_20_80_raw,mae_at_20,mae_at_80,rmse_auc,rmse_auc_20_80,rmse_auc_20_80_raw,rmse_at_20,rmse_at_80,partial_auc_lo,partial_auc_hi,mae_full,rmse_full,mae_empty,rmse_empty,mask_value,ranking_file,ablation_ranking_split
FAKE_DATASET,W10_step1,h10,sensors,fulltrust_agg_selection,-1,5,6,0.9443829683760823,1.0961620718410163,0.6576972431046099,0.9864030463382533,0.8804542063764706,10.772103595733642,10.175044695536293,6.105026817321777,10.606807708740234,11.023582458496094,13.46054515838623,12.762970129648842,7.657782077789307,13.299564361572266,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_fulltrust_agg_selection.json,
FAKE_DATASET,W10_step1,h10,sensors,timetrust_selection,-1,5,6,0.8085634019027734,0.9236825468709228,0.5542095281225538,0.527557195815285,1.015981541986913,11.306381893157958,10.853533585866291,6.512120151519776,12.411786079406738,10.490453720092773,14.271801376342772,13.69656213124593,8.21793727874756,16.204620361328125,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_timetrust_selection.json,
FAKE_DATASET,W10_step1,h10,sensors,weights,-1,5,6,0.9477093187801362,1.079118099912699,0.6474708599476195,0.9864030463382533,1.015981541986913,10.759018611907958,10.242091178894043,6.145254707336426,10.606807708740234,10.490453720092773,13.433132362365722,12.782956441243488,7.6697738647460945,13.299564361572266,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_weights.json,
FAKE_DATASET,W10_step1,h10,sensors,group_ablation,-1,5,6,0.9209773951402984,1.0345648938463028,0.6207389363077818,0.9864030463382533,1.015981541986913,10.864174938201904,10.417351722717285,6.250411033630372,10.606807708740234,10.490453720092773,13.509197425842284,12.90973154703776,7.745838928222657,13.299564361572266,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_group_ablation_masking.json,train
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,0,5,6,0.982480476122479,1.1161301706587186,0.6696781023952312,0.9864030463382533,1.1416206909342248,10.622238063812254,10.096495469411213,6.057897281646729,10.606807708740234,9.996222496032715,13.275954627990725,12.650306224822996,7.590183734893799,13.299564361572266,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,1,5,6,0.9487255568181019,1.0997808955426995,0.6598685373256198,0.6155450139533327,1.2730251809714894,10.755020999908446,10.160809199015299,6.09648551940918,12.065665245056152,9.4793119430542,13.647544670104981,12.918803056081137,7.751281833648683,15.606162071228027,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,2,5,6,0.8171192640844294,0.9702930543329434,0.5821758325997661,0.33345277285971925,1.015981541986913,11.27272539138794,10.670180161794027,6.402108097076417,13.175341606140137,10.490453720092773,14.156485557556152,13.385750770568844,8.031450462341308,16.916330337524414,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,3,5,6,0.7315764490143937,0.7692631187308895,0.46155787123853376,0.5585650868243737,1.1416206909342248,11.609228229522705,11.460978825887043,6.876587295532227,12.289809226989746,9.996222496032715,14.616391944885255,14.47152010599772,8.682912063598634,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,4,5,6,0.6417725035825796,0.6682856056056735,0.40097136336340417,0.527557195815285,0.8804542063764706,11.962493228912352,11.858197689056395,7.114918613433837,12.411786079406738,11.023582458496094,14.96818790435791,14.791532039642332,8.874919223785401,16.204620361328125,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,5,5,6,0.6479740817843973,0.6734535874405216,0.40407215246431305,0.5585650868243737,0.8804542063764706,11.938097858428955,11.837868213653563,7.102720928192139,12.289809226989746,11.023582458496094,14.882594680786132,14.720204353332518,8.832122611999512,15.776654243469238,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
