dataset,window_tag,hidden_tag,group_mode,method,random_trial,k,n_groups,fraction_kept,n_features_kept,input_dim,train_mae,train_rmse,val_mae,val_rmse,retrain_retention,mae_full_ref,rmse_full_ref,mae_mean_ref,rmse_mean_ref,mean_y_train,ranking_file,train_seed,cache_hit,epochs,last_train_loss,last_val_loss
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,-1,False,,,
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,6,30,0.2,96,96,32.19832992553711,47.43300247192383,30.080219268798828,44.6468505859375,0.9553395633434979,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,2958425103,False,60,2265.548828125,1993.34130859375
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,12,30,0.4,192,192,28.1706485748291,43.33910369873047,25.695735931396484,39.695945739746094,1.055780879397862,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,3545693762,False,60,1898.9464111328125,1575.7679443359375
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,18,30,0.6,288,288,27.126178741455078,41.03358459472656,26.45317268371582,39.81412887573242,1.038429246747806,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,303588972,False,60,1707.629638671875,1585.1646728515625
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,24,30,0.8,384,384,25.47568130493164,38.17238998413086,26.201467514038086,40.77596664428711,1.0441953990067165,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,3321436010,False,60,1474.4962158203125,1662.6793212890625
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,97884203,False,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,-1,False,,,
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,6,30,0.2,96,96,36.59733200073242,52.61127853393555,32.93028259277344,46.53045654296875,0.8900492910196699,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,502327719,False,60,2783.24853515625,2165.0830078125
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,12,30,0.4,192,192,34.19873046875,49.147193908691406,30.29918670654297,43.871646881103516,0.9503233787836305,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,554158664,False,60,2405.216796875,1924.7213134765625
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,18,30,0.6,288,288,31.533180236816406,45.619422912597656,31.751541137695312,47.550655364990234,0.9170523228309454,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,514457500,False,60,2091.84130859375,2261.06494140625
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,24,30,0.8,384,384,27.72159194946289,41.671871185302734,30.472166061401367,46.11592102050781,0.9463607057124389,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,1675385496,False,60,1737.0303955078125,2126.67822265625
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,weights,-1,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,-1,False,,,
FD003,W30_step1,h10_10_10,windows,weights,-1,6,30,0.2,96,96,30.943889617919922,46.505584716796875,28.293373107910156,41.99256134033203,0.9962732757504603,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,3186056431,False,60,2176.072265625,1763.375
FD003,W30_step1,h10_10_10,windows,weights,-1,12,30,0.4,192,192,26.7988338470459,41.18798065185547,25.726234436035156,39.37631607055664,1.055082208720415,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,2848580454,False,60,1698.8826904296875,1550.494140625
FD003,W30_step1,h10_10_10,windows,weights,-1,18,30,0.6,288,288,26.140514373779297,40.219757080078125,26.693817138671875,41.61428451538086,1.0329164773068138,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,4272284519,False,60,1620.6021728515625,1731.7486572265625
FD003,W30_step1,h10_10_10,windows,weights,-1,24,30,0.8,384,384,26.066730499267578,39.66963195800781,26.6962833404541,42.54924774169922,1.032859980672296,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,4261767784,False,60,1547.7230224609375,1810.4383544921875
FD003,W30_step1,h10_10_10,windows,weights,-1,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,-1,False,,,
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,6,30,0.2,96,96,29.956615447998047,44.786170959472656,28.61588478088379,43.002498626708984,0.9888850627311452,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,209910239,False,60,2018.3035888671875,1849.2149658203125
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,12,30,0.4,192,192,28.200605392456055,43.168373107910156,26.80073356628418,40.699615478515625,1.030467197455388,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,3916533353,False,60,1859.457275390625,1656.4586181640625
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,18,30,0.6,288,288,26.692611694335938,40.6571044921875,24.82735252380371,37.35117721557617,1.0756741177993718,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,1196063044,False,60,1680.221435546875,1395.110595703125
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,24,30,0.8,384,384,26.600976943969727,40.60131072998047,26.310134887695312,39.63942337036133,1.0417060078556102,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,3885765891,False,60,1667.7349853515625,1571.2838134765625
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,random_permutation,0,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,-1,False,,,
FD003,W30_step1,h10_10_10,windows,random_permutation,0,6,30,0.2,96,96,36.02864074707031,51.976993560791016,31.23404884338379,44.8942985534668,0.9289072218210364,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,2292549937,False,60,2708.9794921875,2015.4979248046875
FD003,W30_step1,h10_10_10,windows,random_permutation,0,12,30,0.4,192,192,30.93435287475586,45.774539947509766,29.881927490234375,45.55207443237305,0.9598821024910122,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,1621464337,False,60,2093.28515625,2074.991455078125
FD003,W30_step1,h10_10_10,windows,random_permutation,0,18,30,0.6,288,288,27.075719833374023,41.50740051269531,28.700927734375,42.72832489013672,0.9869368682661462,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3194123758,False,60,1703.9588623046875,1825.7098388671875
FD003,W30_step1,h10_10_10,windows,random_permutation,0,24,30,0.8,384,384,27.505752563476562,41.38379669189453,25.802261352539062,40.033016204833984,1.053340556862814,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,514044141,False,60,1741.80126953125,1602.6424560546875
FD003,W30_step1,h10_10_10,windows,random_permutation,0,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,random_permutation,1,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,-1,False,,,
FD003,W30_step1,h10_10_10,windows,random_permutation,1,6,30,0.2,96,96,36.24209976196289,52.18342971801758,32.820648193359375,46.53806686401367,0.8925608351434758,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3982256536,False,60,2727.734130859375,2165.791259765625
FD003,W30_step1,h10_10_10,windows,random_permutation,1,12,30,0.4,192,192,29.736757278442383,44.937557220458984,27.6983699798584,39.925453186035156,1.0099038207061608,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3849480208,False,60,2031.584716796875,1594.0419921875
FD003,W30_step1,h10_10_10,windows,random_permutation,1,18,30,0.6,288,288,28.9111328125,43.75994873046875,27.797765731811523,42.61994934082031,1.0076268271887672,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3984005166,False,60,1912.326171875,1816.4598388671875
FD003,W30_step1,h10_10_10,windows,random_permutation,1,24,30,0.8,384,384,26.06852149963379,39.254695892333984,28.200502395629883,42.603057861328125,0.9984007913199148,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,1431072042,False,60,1545.255126953125,1815.0203857421875
FD003,W30_step1,h10_10_10,windows,random_permutation,1,30,30,1.0,480,480,25.186725616455078,37.48731231689453,28.735567092895508,44.34611511230469,0.9861433374235499,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,97884203,True,60,1415.5882568359375,1966.5777587890625
FD003,W30_step1,h10_10_10,windows,random_permutation,2,0,30,0.0,0,0,nan,nan,71.78288269042969,90.7442398071289,0.0,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,-1,False,,,
FD003,W30_step1,h10_10_10,windows,random_permutation,2,6,30,0.2,96,96,33.33938980102539,48.49406051635742,31.650476455688477,45.61609649658203,0.9193675487962918,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,3486003167,False,60,2365.1865234375,2080.828125
FD003,W30_step1,h10_10_10,windows,random_permutation,2,12,30,0.4,192,192,29.662334442138672,44.0976676940918,30.9797306060791,46.61722183227539,0.9347332351698847,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,4204074691,False,60,1910.1058349609375,2173.16552734375
FD003,W30_step1,h10_10_10,windows,random_permutation,2,18,30,0.6,288,288,27.88351821899414,42.792057037353516,27.58316421508789,42.18716812133789,1.01254299566479,28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,2945494352,False,60,1790.272216796875,1779.7569580078125
